HREF,ID,BRAND,NAME,OLD_PRICE,NEW_PRICE,DESC,DATE_SCRAPED,FAILMSG
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_145_146&products_id=2239&zenid=jpsdee79e5g2lq3cufjn5gndv1,2239,SKII,Facial Treatment Essence (30ml),S$39.60,S$35.00,"
									


									


																		

12% SAVING

  

Retail Price: S$ 39.60 (30ml)











 
With More than 90% Pitera , a unique ingredient enriched  with essential vitamins, minerals and amino acids that closely match  your skin, SK-II Facial Treatment Essence is necessary for radiant  healthy-looking skin. Women all over the world affectionately call it  their ""Miracle Water"" for bringing back their skin to its optimum  condition in only 28 days*.



* 88% of women experienced a noticeable difference in their  skin after using SK-II Facial Treatment Essence for 28 days. (Galaxy  Research - May 2007)





HOW TO USE


Use twice daily,  morning and night. After cleansing, gently pat face and neck using a  cotton pad soaked with Facial Treatment Essence. You can even use it on  the eye area.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_161_162&products_id=4733&zenid=jpsdee79e5g2lq3cufjn5gndv1,4733,ESTEE LAUDER,Stress Relief Eye Mask (1pair),S$5.80,S$4.80,"
									


									


																		




BENEFITS

 Revitalises eyes in a 
10-minute treatment





PRODUCT DETAILS


A revitalising, 10-minute mask treatment for the vulnerable area under the eye, diminishing puffiness and signs of fatigue. 


A targeted concentration of anti-stress and anti-fatigue ingredients relax and refresh the skin around the eye.



Helps prevent moisture loss. 


Gives additional moisturisation to dehydrated skin.



Puffiness around eyes is visibly reduced. 






HOW TO USE







Remove the pre-soaked pads from their packet. 


Using fingertips gently separate the two pads from the disposable divider and apply lightly under eyes as shown.


Relax for 10 minutes. 


 Lift off pads and gently pat remaining liquid into the skin.


Use Stress Relief Eye Mask twice a week or as needed.







To reduce puffiness and diminish darkness for a fresher, more rested appearance on a daily basis, we recommend using Advanced Night Repair Protective Eye Recovery Complex morning and night.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=9103&zenid=jpsdee79e5g2lq3cufjn5gndv1,9103,SKII,Facial Treatment Gentle Cleansing Cream  (15g),S$16.95,S$8.00,"
									


									


																		

53% SAVING

Retail Price: S$ 16.95 (15g)





Facial Treatment Gentle Cleansing Cream contains Concentrated Pitera and Mild Treatment Essence, a rich combination that effectively yet gently removes make-up while leaving the skin soft and crystal clear. Its smooth texture and mild rose scent give you a luxurious, cleansing experience. 




How to use


Take 2.5cm diameter of the cream and melt it by rubbing between palms. Take a little cream to dot onto dry skin at forehead, cheeks and chin. Envelop the entire face to spread the cream with both palms. Gentle massage with spiral stroke from lower to upper part of the face.																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_149_150&products_id=13194&zenid=jpsdee79e5g2lq3cufjn5gndv1,13194,ESTEE LAUDER,Resilience Lift Firming-Sculpting Face And Neck Creme SPF15 Normal-Combination Skin (15ml),S$42.00,S$15.00,"
									


									


																		

0% SAVING

Retail Price: S$ 42.00 (15ml)

PRODUCT DETAILS


    You want it all-the lifted look, the firmer feeling and the radiance that reflects how beautiful you are.


    


    Now look as young as you feel with a multi-faceted, 24-hour lift system.


    


    

Powered by our exclusive Photo-Activated Lift Complex, 

Resilience Lift day formulas harness the beneficial power of visible light. 


    


    Featuring   a light-responsive enzyme (Plankton Extract), mineral (Malachite) and   plant extract (Mimosa) to help skin amplify its natural collagen and   elastin production. 


    


    Over time, skin's strength, resiliency and volume are renewed and you'll see a remarkably younger, revitalized look. 


  


    

Immediately, skin looks more radiantly alive and fresher-younger.


    

As you use it, facial contours appear sculpted and newly defined.


    

Lines and wrinkles look more smoothed out and lifted away.


    

An advanced blend of lipids and more infuse skin with rich, lasting moisture.


  


  

Use it with Resilience Lift Night for a multi-faceted, 24-Hour lift. 


  


  In clinical testing, 

92% of women showed a significantly more lifted look in just 4 weeks.


  


  

2 CREMES TO CHOOSE FROM 


  Choose the Resilience Lift creme right for your skintype:
  


    

Normal/Combination creme is lightweight and silky, with just the right balance of richness and refreshment.


    

Dry Skin creme is richly nourishing.


    

Both include a gentle sunscreen to provide effective SPF 15 protection.


  


  


  

HOW TO USE


  


    

Apply every AM after your Repair Serum.


    

At night, we recommend Resilience Lift Night Firming/Sculpting Creme after your Repair Serum.


  


  


  

FORMULA FACTS


  


    

Dermatologist-tested


    

Non-acnegenic


  


  
																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_142&products_id=3613&zenid=jpsdee79e5g2lq3cufjn5gndv1,3613,KOSE,Sekkisei White Liquid Wash (20ml),S$6.60,S$5.50,"
									


									


																		

Soft foam created skin-friendly taurine-related ingredients enwraps skin while washing away dirt and retaiing moisture.


Rich foam gently washes away the dullness in skin. A luxuriously-milky face wash is now available. 




From SEKKISEI, known for its whitening and translucence effect. 


  




																		


								",'2017-05-23,
,,,,,,,,
http://sg.bestbuy-world.com/index.php?main_page=product_info&cPath=140_141_143&products_id=9210&zenid=jpsdee79e5g2lq3cufjn5gndv1,9210,SKII,Facial Treatment Gentle Cleanser [REGULAR] (120g),S$93.00,S$63.00,"
									


									


																		


Facial Treatment Gentle Cleanser cares for your skin while it cleanses. It contains Concentrated Pitera and Mild Treatment Essence that leaves your skin hydrated even 30 minutes after cleansing. Work up a fine-textured lather and enjoy its mild rose scent. 




How to use


Wet the face with lukewarm water, then put 2-3 cm of Cleanser on the palm and add small amount of water. Lather well to crate gentle cleansing foam. Spread the cream foam entire face with gentle stroke from lower to upper part of face. Take best care around the nose area. Rise of with lukewarm water.																		


								",'2017-05-23,
,,,,,,,,
