HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/maxweld-asia-pte-ltd/,Maxweld Asia Pte Ltd,"""enquiry@maxweld.com.sg""",+65  64826966,+65  67566966,Blk 211 Woodlands Ave 9 #08-73 Woodlands Spectrum II S(738960),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/2/
http://www.thegreenbook.com/companies/yew-cheong-asiapac-pte-ltd/,Yew Cheong (Asiapac) Pte Ltd,"""yca23@singnet.com.sg""",+65  62962323,+65  62972323,51 Kallang Pl S(339176),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/convi-industries-supply-pte-ltd/,Convi Industries Supply Pte Ltd,"""agnes@convi.com.sg""",+65  67464666,+65  67459335,63 Ubi Ave 1 #02-01 Boustead Hse S(408937),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/3/
http://www.thegreenbook.com/companies/mse-metal-systems-equipments-pte-ltd/,MSE Metal Systems & Equipments Pte Ltd,"""sales@mse.com.sg""",+65  62666656,+65  62666646,26 Pioneer Cres #05-12 West Park Bizcentral S(628558),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/buildmate-s-pte-ltd/,Buildmate (S) Pte Ltd,"""sales@buildmate.com.sg""",+65  66310188,+65  62654211,1 Joo Yee Rd   S(619197),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/3/
http://www.thegreenbook.com/companies/numero-uno-s-pte-ltd/,Numero Uno (S) Pte Ltd,,+65  63830133,+65  63830115,16 Tai Seng St   S(534138),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/6/
http://www.thegreenbook.com/companies/ntp-technology-pte-ltd/,NTP Technology Pte Ltd,"""business@ntp.com.sg""",+65  67469900,+65  68414338,3032A Ubi Rd 3 #01-129  S(408660),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/6/
http://www.thegreenbook.com/companies/sinmatai-trading-service/,Sinmatai Trading & Service,,+65  93878325,+65  63167957,48 Toh Guan Rd East #09-100 Enterprise Hub S(608586),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/7/
http://www.thegreenbook.com/companies/multistates-trading-co-pte-ltd/,Multistates Trading Co Pte Ltd,"""mtcpl@multistates.com""",+65  62698333,+65  63689392,7 Sg Kadut Ave   S(729644),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/sing-huat-hardware-machinery-pte-ltd-jurong-/,Sing Huat Hardware & Machinery Pte Ltd (Jurong),,+65  68614782,+65  68616466,178 Gul Circle   S(629628),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/7/
http://www.thegreenbook.com/companies/thye-hong-builders-shop-pte-ltd/,Thye Hong Builders Shop Pte Ltd,"""buildersshop@thyehong.com.sg""",+65  68588668,+65  68586776,27 Playfair Rd S(367991),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/8/
http://www.thegreenbook.com/companies/sing-huat-hardware-machinery-pte-ltd-jln-besar-/,Sing Huat Hardware & Machinery Pte Ltd (Jln Besar),"""sales@singhuat.com""",+65  62936861,+65  62938516,327-329 Jln Besar S(208981),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/7/
http://www.thegreenbook.com/companies/tuff-industries-s-pte-ltd/,Tuff Industries (S) Pte Ltd,"""enquiries@tuff.com.sg""",+65 67428890,+65 67428870,1 Ubi View #01-10 Focus One S(408555),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/8/
http://www.thegreenbook.com/companies/wah-lei-industrial-supply-co-pte-ltd/,Wah Lei Industrial Supply Co Pte Ltd,"""wahlei@singnet.com.sg""",+65  62650033,+65  62655369,1 Soon Lee St #01-39/40 Pioneer Centre S(627605),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/9/
http://www.thegreenbook.com/companies/uniweld-products-usa-pte-ltd/,Uniweld Products (USA) Pte Ltd,"""sales@uniweld.com.sg""",+65  62928888,+65  62837172,40 MacTaggart Rd   S(368085),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/9/
http://www.thegreenbook.com/companies/3m-technologies-s-pte-ltd/,3M Technologies (S) Pte Ltd,"""innovation.sg@mmm.com""",+65 64508888,,1 Yishun Ave 7 #02-00 S(768923),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasives/page/8/
