HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/koh-ah-chiew/,Koh Ah Chiew,,+65 62849405,,8 Lor 1 Realty Pk S(536932),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/
http://www.thegreenbook.com/companies/zagro-asia-ltd/,Zagro Asia Ltd,,+65  67591811,+65  67591855,5 Woodlands Ter Level 6  S(738430),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/page/2/
http://www.thegreenbook.com/companies/pure-foods-singapore-pte-ltd-new-industrial-road-/,Pure Foods (Singapore) Pte Ltd ( new industrial Road ),,+65  62939338,+65  62850596,16 New Ind Rd #05-02 Hudson Technocentre S(536204),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/page/2/
http://www.thegreenbook.com/companies/syntech-engineers-pte-ltd/,Syntech Engineers Pte Ltd,"""sales@syntech.com.sg""",+65  62661088,+65  62611828,8 Link Rd   S(619030),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/page/2/
http://www.thegreenbook.com/companies/trafix-pte-ltd/,Trafix Pte Ltd,"""sales@trafixworld.com""",+65  64648671,+65  64648659,"27 Mandai Est #02-07 Innovation Pl, Tower 2 S(729931)",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/page/2/
http://www.thegreenbook.com/companies/wam-singapore-bhm-pte-ltd/,WAM SINGAPORE BHM Pte Ltd,"""info@wamgroup.com""",+65  67532533,+65  67532633,10 Admiralty St #03-65 North Link Bldg S(757695),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/agricultural-equipment-supplies/page/2/
http://www.thegreenbook.com/companies/multistates-trading-co-pte-ltd/,Multistates Trading Co Pte Ltd,"""mtcpl@multistates.com""",+65  62698333,+65  63689392,7 Sg Kadut Ave   S(729644),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/mse-metal-systems-equipments-pte-ltd/,MSE Metal Systems & Equipments Pte Ltd,"""sales@mse.com.sg""",+65  62666656,+65  62666646,26 Pioneer Cres #05-12 West Park Bizcentral S(628558),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/moore-ridge-international-pte-ltd/,Moore Ridge International Pte Ltd,"""mridge@singnet.com.sg""",+65  64521101,+65  64531101,51 Bt Batok Cres #02-21 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/ue-power-resources-pte-ltd/,UE Power & Resources Pte Ltd,"""uepower-sales@ueec.sg""",+65  68657388,+65  62689620,2 Gul St 4 S629234),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/used-machinery/,Used Machinery,"""admin@usedmachinery.sg""",,,S,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-engineering-s-pte-ltd/,Unipac Engineering (S) Pte Ltd,,+65 62428990,+65 65432220,8 Limau Ter S(465807),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-equipment-pte-ltd/,Unipac Equipment Pte Ltd,"""unipacsg@singnet.com.sg""",+65  65432166,+65  65432220,96H Jln Senang   S(418488),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unimech-engineering-pte-ltd/,Unimech Engineering Pte Ltd,"""unimech@singnet.com.sg""",+65  63550831,+65  63550627,Blk 8 Toa Payoh Ind Pk #01-1241 S(319060),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/terex-singapore-ltd/,Terex Singapore Ltd,,+65 67342647,+65 63852569,391B Orchard Rd #23-01 Ngee Ann City Tower B S(238874),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
