HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,PROFILE,FAILMSG
http://www.thegreenbook.com/companies/disco-hi-tec-s-pte-ltd/,Disco Hi-Tec (S) Pte Ltd,,+65 67473737,+65 67450266,2 Kaki Bt Ave 1 #03-06/08 S(417938),,
http://www.thegreenbook.com/companies/aavix-pro-automation-hoerbiger-origa-s-pore-/,Aavix Pro Automation (Hoerbiger-Origa - S'pore),,,+65  62707028,37 Kallang Pudding Rd #08-03 Tong Lee Bldg B S(349315),,
http://www.thegreenbook.com/companies/climate-air-conditioning-co/,Climate Air-Conditioning Co,,+65  68996696,+65  68971032,Blk 406 Jurong West St 42 #01-597 S(640406),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Climate Air Con is a Singapore-based aircon service company established since 1979 with over 30 years of experience in the industry. Our specialization includes the design, installation, repair as well as the maintenance service of air-cons. We found ourselves to be familiar with factories, offices, private houses, condominiums & HDB houses.




 




Climate Air Con have a wide range of air-cons such as ceiling cassette, ceiling suspended, ceiling ducted, wall mounted & window type as well. We also provide other services like wiring, checking & repairing of cool room that caters for low temperature below the average air-cons.




 




Specialize in:

- Design

- Installation

- Maintenance

- Repair

- Servicing

- Cool Room Works

- Electrical Works

- VRV System




 




Management or Commercial offices are welcome to call us for quote.




Call Us Now! You’re Air Con Specialist at your Doorstep.




 


                                        
                                    ",
http://www.thegreenbook.com/companies/a-texas-technologies-pte-ltd/,A-Texas Technologies Pte Ltd,,+65  67780234,+65  67780974,51 Ayer Rajah Cres #06-12  S(139948),,
http://www.thegreenbook.com/companies/index-cool-marine-industry-pte-ltd/,Index-Cool Marine & Industry Pte Ltd,,+65  62881337,+65  62888605,25 Tuas Ave 8   S(639240),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Our activities:
- Marine & Industrial Air-conditioning plant
- Coolers for marine engines
- Refrigeration plant
- Retubing & fabrication of shell & tubes heat exchangers
- Manufacture evaporator coils and heating coils
- Riding service squads
- Supply refrigerant compressor & spare parts
- Panel & insulation renewal
- Maintenance, inspection, installation & certification of fixed and portable fire extinguishers, fire detection system
- Supply & service of liferaft
                                        


                                    ",
http://www.thegreenbook.com/companies/sin-thong-hung-pte-ltd/,Sin Thong Hung Pte Ltd,,+65  64843973,+65  64843066,5 Ang Mo Kio Ind Pk 2A #03-16 AMK Tech II S(567760),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Sin Thong Hung Pte Ltd

 

is one of the trusted suppliers and distributors of different types of air compressors, air dryers and other spare parts. These products we offer are necessary in operating various industries in Singapore. Carrying the top and quality manufacturers of these products, we guarantee optimum performance during the operation. Some of these prominent brands include Hitachi, Ingersoll Rand, ALMIG, NISCON, FRIULAIR, ATECH and many more.




The following are some of the products we offer:

• Oil-free compressor

• Screw compressor

• Extremely Low Noise Oil-free Scroll Air Compressor

• Oil-Mist Separator

• Desiccant Air Dryer

• Reciprocating Compressor

• Low Cost Screw Compressor

• FR & FRL Unit

• Air Dryer Tropical Design 80 deg C Inlet Air




With our complete dedication in giving optimum customer service to our valuable clients, Sin Thong Hung Pte Ltd continues to grow into a strong and reliable industrial company.


                                        
                                    ",
http://www.thegreenbook.com/companies/g-l-hardware-marketing-pte-ltd/,G & L Hardware Marketing Pte Ltd,,+65 67446058,+65 67449948,50 Genting Lane #03-01 Cideco Ind Complex S(349558),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

G & L Hardware Marketing Pte Ltd

 represents eminent brands from Asia and European countries. We carry products which are widely used for electrical machines and tools, air compressors for general and special purpose such as oil less compressors and portable inverter welding set equipped with complete tools and cutters.




Our dedicated staffs are highly experienced in terms of technicalities and sales. Through our proven skills and strategies, we acquired to handle large variety of products which are highly in demand to many types of industries.




List of Brands and Products we handle:













Brands




Products










AEG




Bi-metal hole saw and electric power tools










Alfra




Cutters and magnetic boring machines










Anchor




Aerosol paint










Benz




Abrasive cuttings and grinding discs, drill chucks and SDS- Plus mansory drill bits










Deca




Battery chargers and inverter welding set










Nikken




Rotary hammers










Everitt




Bench grinders, bench drills and miter saws










Fiac




Dental and industrial air compressors










Karcher




Domestic and industrial high pressure cleaners, special purpose commercial and industrial vacuum cleaners, hot water high pressure cleaners and steam cleaner










KingPower




Comfortable safety shoes design










Proxxon




Micro tools for light industrial application










Simaco




Clean water submersible pump










3M




Electrical tapes, stainless steel polisher, adhesive remover, 5-way penetrant, contact cleaner and zinc spray (cold galvanized)













If you find your needed products on the above list, please do not hesitate to call us or simply post your enquiries below. Here at G & L Hardware Marketing Pte Ltd, we aim to consistently deliver high quality products and provide up to date solutions to every customer’s needs.


                                        
                                    ",
http://www.thegreenbook.com/companies/argo-international-marine-pte-ltd/,Argo International Marine Pte Ltd,,+65  65643295,+65  65631784,1 Soon Lee St #03-66 Pioneer Centre S(627605),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Argo International Marine Pte Ltd is specialized in supplying Volvo Penta parts for industrial & marine equipment.




 




Also a distributor of a wide range and different makes of :




 




• Engine parts

• Hydraulics parts

• Compressor parts

• Turbocharger parts

• Alternator & Starter Motor

• Engine Control Systems, actuators

• Oil Purifier parts

• Gas Detector, Battery chargers, Circuit breakers;

• Air-conditioning and refrigeration compressors & spare parts;

• other HVAC related spares parts


                                        
                                    ",
http://www.thegreenbook.com/companies/allergy-management-systems-pte-ltd/,,,+65  62982066,+65  62989613,203 Henderson Rd #09-07 Henderson Ind Pk S(159546),,
http://www.thegreenbook.com/companies/inter-macon-corporation-s-pte-ltd/,Inter-Macon Corporation (S) Pte Ltd,,+65  62665042,+65  68933277,3 Woodgrove Dr #02-02 S(738230),,
http://www.thegreenbook.com/companies/altra-industrial-motion-singapore-pte-ltd/,Altra Industrial Motion Singapore Pte Ltd,,+65  64874464,+65  64876674,16 Boon Lay Way #01-47 TradeHub 21 S(609965),,
http://www.thegreenbook.com/companies/mecomb-singapore-ltd-electronic-scientific-instruments-dept-/,Mecomb Singapore Ltd (Electronic & Scientific Instruments Dept),,+65  65721200,+65  62656160,6 Jurong Pier Rd   S(619158),,
http://www.thegreenbook.com/companies/stamford-tyres-international-pte-ltd-woodlands-/,Stamford Tyres International Pte Ltd (Woodlands),,+65  65553355,+65  68533145,10 Admiralty St #01-85 North Link Bldg S(757695),,
http://www.thegreenbook.com/companies/multico-equipment-parts-pte-ltd/,Multico Equipment & Parts Pte Ltd,,+65 68632863,+65 68636817,11 Tuas View Cres Multico Bldg S(637643),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Established in 1980, 

Multico Equipment & Parts Pte Ltd

 is the Heavy Equipment arm of the Multico Group of Companies. It specializes in equipment for the Construction, Environment Landscaping and Recycling industries. Today, it represents many International Brand Names which are acknowledged worldwide for their quality and versatility.




To support our current activity in this region, we hold a large inventory of genuine parts for quick, effective and efficient deliveries to end-users. Our experienced service engineers are able to provide quick response to any problem that may arises. Maintenance contracts can be arranged through Multico Equipment & Parts Pte Ltd. So contact us for your needs.


                                        
                                    ",
http://www.thegreenbook.com/companies/overseas-motors-pte-ltd/,Overseas Motors (Pte) Ltd,,+65  62647288,+65  62647189,19 Fourth Chin Bee Rd S(619705),,
http://www.thegreenbook.com/companies/spotradio-sdn-bhd/,Spotradio Sdn Bhd,,+65  65629932,+65  65629931,25 International Business Pk #04-07 German Centre S(609916),,
http://www.thegreenbook.com/companies/aver-asia-s-pte-ltd/,Aver Asia (S) Pte Ltd,,+65  68616368,+65  68612142,14 Benoi Pl S(629953),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Aver Asia (S) Pte Ltd, incorporated in 1999 in Singapore, specializes in equipment rental, sales, repair and maintenance services and sales of related parts and accessories. The company services customers in the marine and shipyard industries, oil and gas industries and construction and infrastructure companies. The company provides maintenance services, replacement units for backup and 24 hour call as part of the rental services provided.




Our range or rental equipment for the industry include:




1. Air Compressor:

• Free air delivery: 175 to 1070 cfm

• Rated pressure: 100 to 350 psi

• Skid base/lifting cage/trailer mounted

• Diesel engine driven




2. Air Winch/Tugger:

• Safe working load: 3 to 10 ton

• Operating speed: 8-11 m/mm

• Operating air pressure: 6-8 bar




3. Aerial Platform/Boomlift:

• Self-propelled

• Working height: 8 to 45 meter

• Diesel engine driven

• Wheeled drive / Battery Operated

• 360 degree continuous




4. Forklift & Material Handler:

• 1.5 to 45 ton

• Diesel engine driven or battery operated

• All range of mast




5. Generator:

• 5KVA to 1400 KVA

• Diesel engine driven

• 50Hz to 60Hz




6. Rectifier/Inverter:

• DC power/AC power

• 400 to 500 amp

• AC power together with welding power

• Light weight

• 6 units per lifting rack




7. Scissor Lift:

• Self-propelled

• Working height: 4 to 18 meter

• Diesel engine driven or battery operated




8. Skid-Steer Loader (Bobcat)

• Operating capacity: 1300lbs/590kg

• Diesel engine driven




9. Welding Machine:

• DC power/AC power

• 400 to 700 amp

• AC power together with welding power

• Diesel engine driven

• Skid base/lifting cage




10. Towerlight:

• 4 x 400w

• 4 X 1000w

• Aerial Work Platform (AWP)




11. Telescopic handler:

• Diesel engine driven

• Lifting height: 7 meter to 17.5 meter

• Lifting capacity: 3,000kg to 4,000kg




12. Mobile Elevated Work Platform (MEWP) Training:

• Boomlift

• Scissorlift

• Aerial Work Platform

• Spiderlift

13. Air Receiver Tank:

• 500 to 15,000litre tank

• 150 to 300psi

14. Air Cool Aftercooler / Dryer:

• 350 to 1070 cfm

• 100 to 350 psi

• -40°C


                                        
                                    ",
