HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,PROFILE,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/amk-global-distribution-pte-ltd/,AMK Global Distribution Pte Ltd,,+65  64833021,+65  64833019,4008 Ang Mo Kio Ave 10 #03-20 Techplace I S(569625),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/
http://www.thegreenbook.com/companies/disco-hi-tec-s-pte-ltd/,Disco Hi-Tec (S) Pte Ltd,,+65 67473737,+65 67450266,2 Kaki Bt Ave 1 #03-06/08 S(417938),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/
http://www.thegreenbook.com/companies/henkel-singapore-pte-ltd/,Henkel Singapore Pte Ltd,,+65  62660100,+65  62661161,401 C'Wealth Dr #03-01/02 Haw Par Technocentre S(149598),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Henkel operates worldwide with leading brands and technologies in three business areas: Laundry & Home Care, Beauty Care and Adhesive Technologies.


Founded in 1876, Henkel holds globally leading market positions both in the consumer and industrial businesses with well-known brands such as Persil, Schwarzkopf and Loctite.




Henkel, headquartered in Düsseldorf / Germany, has some 47,000 employees worldwide and counts among the most internationally aligned German-based companies in the global marketplace.




Henkel is the world market leader in adhesives, sealants and functional coatings for consumers, craftsmen and industrial applications.




The Adhesive Technologies business unit provides tailor-made solutions worldwide with adhesives, sealants and functional coatings in two business areas: Industry, and Consumer, Craftsmen and Building. In the Packaging and Consumer Goods Adhesives business, we work with major international customers to develop innovative solutions for the production of grocery packaging and consumer goods. In the Transport and Metal business, we provide the automotive, aircraft, and metal processing industries with superior system solutions and specialized technical services. In the General Industry business, we offer a comprehensive portfolio of products for the manufacture and maintenance of durable goods. Our Electronics business offers customers from the electronics industry worldwide a comprehensive portfolio of innovative high-technology adhesives for the manufacture of microchips and electronic assemblies.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/
http://www.thegreenbook.com/companies/homely-hardware-pte-ltd-changi-/,,,+65 67428557,+65 67470522,341 Changi Rd S(419812),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-chemicals/
http://www.thegreenbook.com/companies/texchem-singapore-pte-ltd/,Texchem Singapore Pte Ltd,,+65  62655211,+65  62658942,31 International Business Pk #02-12 Creative Resource S(609921),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/additives-paint/
http://www.thegreenbook.com/companies/usae-pte-ltd-toh-guan-/,,,+65 68653964,+65 68632441,48 Toh Guan Rd East #03-125 & 126 Enterprise Hub S(608586),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/additives-drilling-mud/
http://www.thegreenbook.com/companies/timken-singapore-pte-ltd/,Timken Singapore Pte Ltd,,+65  65320900,+65  65320922,51 Changi Business Pk Central 2 #08-06/07 The Signature Bldg S(486066),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

The Timken Company engineers, manufactures and markets Timken® bearings, transmissions, gearboxes, chain, and related products, and offers a spectrum of power system rebuild and repair services around the world. The leading authority on tapered roller bearings, Timken today applies its deep knowledge of metallurgy, tribology and power transmission across the broad spectrum of bearings and related systems to improve the reliability and efficiency of machinery and equipment.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adapter-type-roller-bearings/
http://www.thegreenbook.com/companies/gennal-industries-pte-ltd/,Gennal Industries Pte Ltd,,+65  65087178,+65  62820598,18 Kaki Bt Rd 3 #02-07 Entrepreneur Business Centre S(415978),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adapter-type-ball-bearings/
http://www.thegreenbook.com/companies/wilhelm-valve-engineering-pte-ltd/,Wilhelm Valve Engineering Pte Ltd,,+65  68623537,+65  68978748,13 Tuas Link 3   S(638528),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Wilhelm Valve Engineering

 is a value added leader in valves engineering field. Since our inception in 1993, we have grown to be the leading provider of valve solutions in Asia.




As the leading valve refurbishment and modification specialist, our company is well equipped with advanced machineries and testing equipment. To fulfill the stringent expectations of various industries. We have a team of well-trained and dedicated staff to handle your valves' problems and needs. Our people make daunting tasks look easy.




Under the guidance of our founders with a combined experience of 50 years, Wilhelm Valve Engineering has flourished into a company that is capable of handling all types of valve-related problems and needs.




With vast experience in valve engineering, our expertise spans from valve refurbishment, testing, calibration to modification. We have established 4 major divisions to meet the demands of the ever-growing industry. They are, namely, the Control Valve Division, Safety Valve Division, Valve Automation Division and General Valve Division. Our team specialists are ever-ready to provide quality service both in our workshop and on-site.




Armed with proper testing equipment and test rig, Wilhelm is able to provide and meet the stringent requirements for conducting shell and seat tests in accordance with API, BS, JIS, ISO standards.




Together with trained technicians, we are able to ensure proper procedures of testing to clients’ expectations or third party inspections. We take extra precautions with the safety of the personnel attending to the test. Our staffs are trained on the proper handling procedures of your product and take note of the test limit of each valve to prevent any damage.




Our workshop is approved by the Singapore Accreditation Council (ISO/IEC 17025 : 2005) for the testing of safety relief valves. Wilhelm has been accredited with ISO 9001-2008 certificate for valve repair and engineering services. We are able to handle valve testing of up to 10,000psi. We are the authorised service agent for Bopp & Reuther and Leser.




All valves serviced and tested in our company are recorded and the data is kept in our database for easy tracking. Test certificates or reports are issued upon request. Metal tagging for each valve is provided to track the date of servicing.




Wilhelm works closely with oil and gas producers, refineries, pharmaceutical companies, shipyards and other process owners to ensure that their valves are always in excellent working conditions. Wherever we are, Wilhelm’s name is as synonymous with the word “Trust”. The company’s reputation built over the year has been instrumental to our current success. Wilhelm will strive continuously to further improve in our specialized field and service to ensure that this “Trust” will be further expanded.




After all, our business is to ensure yours runs smoothly.




 


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/actuators-valve/
http://www.thegreenbook.com/companies/wes-noise-control-pte-ltd/,WES Noise Control Pte Ltd,,+65 65655555,+65 68613177,49 Joo Koon Circle S(629068),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

WES Noise Control Pte Ltd

 was established in the year 2009 which turned to be the most reliable partner in your construction businesses worldwide. Our company aims to give you the best solution related to an effective noise reduction coming from construction and other civil engineering industry. We also intend to make your work upgraded while keeping environment friendly worksites.




WES Noise Control Pte Ltd highly promotes a city with the best and most improved environment featuring prominent buildings, constructions, renovations, and works that were customized and upgraded.




Prevention of noise is a bit difficult especially when you want to make changes and improvements to your physical surroundings. Our company is now here to help you solve those noise related issues you are encountering. WES offers you different types of noise reduction materials that will lessen such daily life’s inconvenience and interruption.




Let your residents be safe while enjoying a comfortable and ease environment even if construction and civil engineering services are at work.




WES Noise Control Pte Ltd provides you professional, friendly and well-trained staffs that are always available to cater all construction related development and noise drop solution which you require.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/acoustical-control-structures-equipment/
