HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/multistates-trading-co-pte-ltd/,Multistates Trading Co Pte Ltd,,+65  62698333,+65  63689392,7 Sg Kadut Ave   S(729644),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/used-machinery/,Used Machinery,,,,S,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/ue-power-resources-pte-ltd/,UE Power & Resources Pte Ltd,,+65  68657388,+65  62689620,2 Gul St 4 S629234),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-equipment-pte-ltd/,Unipac Equipment Pte Ltd,,+65  65432166,+65  65432220,96H Jln Senang   S(418488),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-engineering-s-pte-ltd/,Unipac Engineering (S) Pte Ltd,,+65 62428990,+65 65432220,8 Limau Ter S(465807),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unimech-engineering-pte-ltd/,Unimech Engineering Pte Ltd,,+65  63550831,+65  63550627,Blk 8 Toa Payoh Ind Pk #01-1241 S(319060),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/terex-singapore-ltd/,Terex Singapore Ltd,,+65 67342647,+65 63852569,391B Orchard Rd #23-01 Ngee Ann City Tower B S(238874),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/springwell-marketing-services-pte-ltd/,Springwell Marketing Services Pte Ltd,,+65  64830319,+65  64830917,50 Tuas Ave 11 #03-37 Tuas Lot S(639107),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/singapore-daito-engineering-pte-ltd/,Singapore Daito Engineering Pte Ltd,,+65  62614715,+65  62651055,19 Tuas Sth St 5   S(637650),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/rotomatik-s-pte-ltd/,Rotomatik (S) Pte Ltd,,+65  68968878,+65  68968082,51 Bt Batok Cres #06-03 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/oceanic-offshore-engineering-pte-ltd/,Oceanic Offshore Engineering Pte Ltd,,+65  62626662,+65  68981728,14 Jln Tukang S(619253),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/nishio-rent-all-singapore-pte-ltd/,Nishio Rent All Singapore Pte Ltd,,+65 68613939,+65 68610820,9 Tuas Ave 18 S(638893),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/mse-metal-systems-equipments-pte-ltd/,MSE Metal Systems & Equipments Pte Ltd,,+65  62666656,+65  62666646,26 Pioneer Cres #05-12 West Park Bizcentral S(628558),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/moore-ridge-international-pte-ltd/,Moore Ridge International Pte Ltd,,+65  64521101,+65  64531101,51 Bt Batok Cres #02-21 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/modern-singapore-access-equipment-pte-ltd/,Modern (Singapore) Access & Equipment Pte Ltd,,+65  62656558,+65  62645568,7 Chia Ping Rd S(619972),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
