HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/multistates-trading-co-pte-ltd/,Multistates Trading Co Pte Ltd,"""mtcpl@multistates.com""",+65  62698333,+65  63689392,7 Sg Kadut Ave   S(729644),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/used-machinery/,Used Machinery,"""admin@usedmachinery.sg""",,,S,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/ue-power-resources-pte-ltd/,UE Power & Resources Pte Ltd,"""uepower-sales@ueec.sg""",+65  68657388,+65  62689620,2 Gul St 4 S629234),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-engineering-s-pte-ltd/,Unipac Engineering (S) Pte Ltd,,+65 62428990,+65 65432220,8 Limau Ter S(465807),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unipac-equipment-pte-ltd/,Unipac Equipment Pte Ltd,"""unipacsg@singnet.com.sg""",+65  65432166,+65  65432220,96H Jln Senang   S(418488),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/terex-singapore-ltd/,Terex Singapore Ltd,,+65 67342647,+65 63852569,391B Orchard Rd #23-01 Ngee Ann City Tower B S(238874),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/unimech-engineering-pte-ltd/,Unimech Engineering Pte Ltd,"""unimech@singnet.com.sg""",+65  63550831,+65  63550627,Blk 8 Toa Payoh Ind Pk #01-1241 S(319060),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/springwell-marketing-services-pte-ltd/,Springwell Marketing Services Pte Ltd,"""springwell@singnet.com.sg""",+65  64830319,+65  64830917,50 Tuas Ave 11 #03-37 Tuas Lot S(639107),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/singapore-daito-engineering-pte-ltd/,Singapore Daito Engineering Pte Ltd,"""info@sdel.com.sg""",+65  62614715,+65  62651055,19 Tuas Sth St 5   S(637650),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/rotomatik-s-pte-ltd/,Rotomatik (S) Pte Ltd,"""sales.sg@rotomatik.com""",+65  68968878,+65  68968082,51 Bt Batok Cres #06-03 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/oceanic-offshore-engineering-pte-ltd/,Oceanic Offshore Engineering Pte Ltd,"""info@oceanicoffshore.com.sg""",+65  62626662,+65  68981728,14 Jln Tukang S(619253),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/nishio-rent-all-singapore-pte-ltd/,Nishio Rent All Singapore Pte Ltd,"""nishio@nras.com.sg""",+65 68613939,+65 68610820,9 Tuas Ave 18 S(638893),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/4/
http://www.thegreenbook.com/companies/mse-metal-systems-equipments-pte-ltd/,MSE Metal Systems & Equipments Pte Ltd,"""sales@mse.com.sg""",+65  62666656,+65  62666646,26 Pioneer Cres #05-12 West Park Bizcentral S(628558),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/moore-ridge-international-pte-ltd/,Moore Ridge International Pte Ltd,"""mridge@singnet.com.sg""",+65  64521101,+65  64531101,51 Bt Batok Cres #02-21 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/modern-singapore-access-equipment-pte-ltd/,Modern (Singapore) Access & Equipment Pte Ltd,"""inquiry@modernsg.com.sg""",+65  62656558,+65  62645568,7 Chia Ping Rd S(619972),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/mhe-demag-s-pte-ltd/,MHE-Demag (S) Pte Ltd,"""info_mhe@mhe-demag.com""",+65  63053500,+65  68621933,33 Gul Circle   S(629570),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/mastermark-pte-ltd-ubi-road-/,Mastermark Pte Ltd (Ubi Road),"""info@mastermark.com.sg""",+65  67416880,+65  67416881,61 Ubi Rd 1 #04-01 Oxley Bizhub S(408727),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/master-scaffolds-pte-ltd/,Master Scaffolds Pte Ltd,"""smpl.scaffold@gmail.com""",+65  63927702,+65  63927703,145 Tuas View Sq  Westlink Techpark S(637749),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/manitou-asia-pte-ltd/,Manitou Asia Pte Ltd,"""info@manitouasia.com""",+65 68620771,+65 68620216,16 Neythal Rd S(628581),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/lian-hup-brothers-pte-ltd/,Lian Hup Brothers Pte Ltd,"""info@lhb.com.sg""",+65  63670625,+65  63679959,18 Kranji Rd S(739461),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/leeden-ltd/,Leeden Ltd,"""sgsales.safety@leedenlimited.com""",+65  62681221,+65  62682838,1 SHIPYARD RD S(628128),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/keppel-sea-scan-pte-ltd/,Keppel Sea Scan Pte Ltd,"""sscan123@keppelseascan.com""",+65  62626100,+65  62621231,55 Gul Rd Level 5  S(629353),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/jsk-engineering-sdn-bhd/,JSK Engineering Sdn Bhd,"""jskesb@po.jaring.my""",+603 58828993,+603 58828991,"No.45 Jalan Layang Layang 3, Bandar Puchong Jaya 47100 Puchong, Selangor  Malaysia",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/jpn-industrial-trading-pte-ltd/,JPN Industrial Trading Pte Ltd,"""sales@jpn.sg""",+65 62889991,+65 62805725,13A Pandan Cres S(128478),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/john-chen-singapore-pte-ltd/,John Chen (Singapore) Pte Ltd,"""info@johnchen.sg""",+65  62852122,+65  62853068,6 Little Rd   S(536984),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/3/
http://www.thegreenbook.com/companies/yew-cheong-asiapac-pte-ltd/,Yew Cheong (Asiapac) Pte Ltd,"""yca23@singnet.com.sg""",+65  62962323,+65  62972323,51 Kallang Pl S(339176),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/warenest-hardware-s-pte-ltd/,Warenest Hardware (S) Pte Ltd,"""info@warenest.com.sg""",+65  63162339,+65  63162303,51 Bt Batok Cres #02-03 Unity Centre S(658077),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/united-industrial-products-pte-ltd/,United Industrial Products Pte Ltd,"""daniel@uitmail.com""",+65  67469835,+65  67450385,Blk 1013 Geylang East Ave 3 #03-128  S(389728),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/unique-hardware-co-pte-ltd/,Unique Hardware Co Pte Ltd,"""ypteo@unique.com.sg""",+65  67484211,+65  67478026,7 Woodlands Ter   S(738432),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/tooling-cutting-technologies-pte-ltd/,Tooling & Cutting Technologies Pte Ltd,,+65 62965393,+65 62964383,Blk 808 French Rd #03-179 Kitchener Complex S(200808),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/trg-asia-pte-ltd/,TRG Asia Pte Ltd,"""enquiry@trgasia.com.sg""",+65  65535488,+65  65531807,27 Woodlands Ind Pk E2 Nordix S(757460),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/tek-an-pte-ltd/,Tek An Pte Ltd,"""sales@tekan.com.sg""",+65  62951661,+65  62921662,Blk 7 Kallang Pl #06-03/04  S(339153),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/taikyuu-industrial-supply-pte-ltd/,Taikyuu Industrial Supply Pte Ltd,"""sales@taikyuu.com.sg""",+65  67457098,+65  67457909,37 Tannery Lane #05-08 Tannery Hse S(347790),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/sma-industrial-services/,SMA Industrial Services,"""sales@smaindustrial.com.sg""",+65  65604828,+65  65605083,Blk 2022 Bt Batok St 23 #03-128 Bt Batok Ind Pk A S(659527),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/sing-brothers-hardware-pte-ltd/,Sing Brothers Hardware Pte Ltd,"""singbrothershardwares@yahoo.com.sg""",+65  67470660,+65  67474110,81 Genting Lane #01-01 Everich Ind Bldg S(349566),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/sellery-tools-pte-ltd/,Sellery Tools Pte Ltd,"""sales@sellerytools.com.sg""",+65  67469755,+65  67433115,41 Kallang Pudding Rd #01-02 Golden Wheel Bldg S(349316),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/production-link-pte-ltd/,Production Link Pte Ltd,"""plink@singnet.com.sg""",+65  64622477,+65  64622505,48 Toh Guan Rd East #09-131 Enterprise Hub S(608586),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/pfe-technologies-pte-ltd/,PFE Technologies Pte Ltd,"""sales@pfetec.com""",+65  65586388,+65  65587310,9 Gul St 4   S(629238),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/nimic-far-east-pte-ltd/,Nimic Far East Pte Ltd,"""salessupport@nimic.com.sg""",+65  67481110,+65  67773686,54 Genting Lane #05-03 Ruby Land Complex Blk 2 S(349562),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/hyh-enterprise-pte-ltd/,HYH Enterprise Pte Ltd,,,,47 Sg Kadut St 6   S(728873),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/jh-equipment-services-pte-ltd/,JH Equipment & Services Pte Ltd,"""Jhessales@jianhuang.com.sg""",+65  68632767,+65  68632768,15A Tuas Ave 18   S(638905),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/hkl-scaffolding-formwork-pte-ltd/,HKL Scaffolding & Formwork Pte Ltd,"""hklsfold@singnet.com.sg""",+65  68981111,+65  65626177,49 Joo Koon Circle S(629068),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/goh-kwang-heng-pte-ltd/,Goh Kwang Heng Pte Ltd,"""info@gkh.com.sg""",+65  68937797,+65  68930667,31 Jurong Port Rd #07-32 Jurong Logistics Hub S(619115),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/genfor-lease-pte-ltd/,Genfor Lease Pte Ltd,"""sales@genfor.sg""",+65  62889991,+65  62805725,13A Pandan Cres   S(128478),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/galmon-s-pte-ltd/,Galmon (S) Pte Ltd,"""info@galmon.com""",+65  68622277,+65  68620520,50 Tuas Ave 1  Jurong Ind Est S(639527),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/eriweld-international-pte-ltd/,Eriweld International Pte Ltd,"""sales@eriweld.com""",+65  67493928,+65  67493244,51 Ubi Ave 1 #05-22 Paya Ubi Ind Pk S(408933),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/erect-group-singapore-pte-ltd/,Erect Group (Singapore) Pte Ltd,"""sales@erectgroup.com""",+65  68630345,+65  68977345,9 Gul Dr S(629460),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
http://www.thegreenbook.com/companies/equipment-engineering-pte-ltd/,Equipment Engineering (Pte) Ltd,,+65  68979909,+65  68979798,20 Bt Batok Cres #07-15 Enterprise Centre S(658080),,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/work-platform-elevating/page/2/
