CARDNAME,STRENGTH,GROUP,RARITY,LOYALTY,FACTION,POSITION,TYPE,TEXT
,,,,,,,,
Ancient Foglet,Strength: 6,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Monsters,Position: Ranged,Type: Necrophage,"Turn Start: Boost self by 1 if Fog is anywhere on the Board.
"
,,,,,,,,
Arachas,Strength: 3,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Monsters,Position: Ranged,Type: Insectoid,"Deploy: Summon all copies of this Unit.
"
,,,,,,,,
Arachas Behemoth,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Monsters,Position: Siege,Type: Insectoid,"Armor 2
Whenever an Ally Consumes a card, Spawn an Arachas. Effort: Damage self by 1 (ignoring Armor).
"
,,,,,,,,
Archgriffin,Strength: 7,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Monsters,Position: Multiple,Type: Beast,"Deploy: Remove Weather from the row.
"
,,,,,,,,
Caranthir,Strength: 5,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Monsters,Position: Multiple,"Type: Mage, Wild Hunt","Deploy: Move 5 Enemies to this unit's row on your opponent's side and apply Frost to that row on that side only.
"
,,,,,,,,
Caretaker,Strength: 4,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Monsters,Position: Multiple,Type: Relict,"Deploy: Resurrect a unit from your opponent's Graveyard.
"
,,,,,,,,
Celaeno Harpy,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Monsters,Position: Multiple,Type: Beast,"Deploy: Spawn 2 Harpy Eggs to the left of this Unit.
"
,,,,,,,,
Chort,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Monsters,Position: Multiple,Type: Relict,"Deploy, Brave: Strengthen self by 4.
"
,,,,,,,,
Crone: Brewess,Strength: 8,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Monsters,Position: Siege,,"Deploy: Summon Whispess & Weavess.
"
,,,,,,,,
