CARDNAME,STRENGTH,GROUP,RARITY,LOYALTY,FACTION,POSITION,TYPE,TEXT
Berserker Marauder,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Skellige,Position: Melee,"Type: Cursed, Regressing","Deploy: Strengthen self by 1 for each Damaged Enemy (including Golds), then Damage self by 1.
"
Birna Bran,Strength: 5,Group: Gold,Rarity: Legendary,Loyalty: Disloyal,Faction: Skellige,Position: Multiple,,"Deploy: Move a Unit from your opponent’s Graveyard to yours. Turn Start: Damage self by 1 and adjacent Units by 2.
"
Blueboy Lugos,Strength: 6,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Skellige,Position: Melee,,"Veteran: Strength self by 1.
Deploy: Spawn a Spectral Whale on your opponent’s side.
"
Cerys,Strength: 6,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Skellige,Position: Multiple,,"Counter 4: Decrease whenever a unit is Resurrected on your side. At Counter 0, Resurrect this Unit.
"
Aretuza Adept,Strength: 3,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Northern Realms,Position: Siege,Type: Mage,"Deploy: Play a random Bronze Weather card from your Deck.
"
Alba Pikeman,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Nilfgaard,Position: Melee,,"Timer 2, Turn Start: Summon a copy of this Unit to its row.
"
Champion of Champions,Strength: 5,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Skellige,Position: Multiple,Type: Ogroid,"Turn Start: Strengthen this Unit by 2 if it is the only Unit on the row.
"
Clan an Craite Raider,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Melee,,"Veteran: Strengthen by 1.
Resurrect this Unit whenever it is Discarded.
"
Clan An Craite Warcrier,Strength: 7,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Skellige,Position: Multiple,,"Veteran: Strengthen self by 1.
Deploy: Boost 3 Damaged Units to the left by half their Power (rounding up).
Effort: Weaken self by 2.
"
Ballista,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Northern Realms,Type: Machine,,"Deploy: Pick an Enemy and Damage it and all Enemies with the same Power by 1 (ignoring Armor).
Fresh Crew: Repeat the Deploy ability.
"
Bloody Baron,Strength: 4,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Northern Realms,Position: Multiple,,"Round End: If this unit is in your Deck, move it to the top. While in your Deck during a Round, Boost self by 1 whenever an Enemy is Destroyed.
"
Blue Stripes Commando,Strength: 3,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Northern Realms,Position: Multiple,Type: Blue Stripes,"Summon this Unit (only 1 copy) whenever a different Ally with the same power is played and place it on that Unit’s row.
Trio: Create 1 base copy of a Blue Stripes Command on the bottom of your Deck.
"
Alba Spearmen,Strength: 8,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Nilfgaard,Position: Ranged,,"Deploy: Give this Unit a Shield.
"
Albrich,Strength: 9,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Nilfgaard,Position: Siege,Type: Mage,"Deploy, Clash: Each player Draws a card (including Golds). The card Drawn by your opponent is Revealed.
"
Alchemist,Strength: 7,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Nilfgaard,Position: Ranged,Type: Mage,"Deploy: Reveal a card.
"
Clan An Craite Warrior,Strength: 8,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Skellige,Position: Melee,,"Veteran: Strengthen self by 1.
Deploy: Damage self by 1.
"
Clan Brokvar Archer,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Skellige,Position: Siege,,"Veteran: Strengthen self by 1.
Deploy: Damage 3 Units by 1.
"
Clan Brokvar Hunter,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Multiple,,"Veteran: Strengthen self by 1.
Strengthen self by 1 whenever an adjacent Unit is Damaged.
Deploy: Damage a Unit by 3.
"
Blue Stripes Scout,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Northern Realms,Position: Multiple,Type: Blue Stripes,"Armor 2.
Deploy: Clear Weather from the row.
"
Botchling,Strength: 5,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Northern Realms,Position: Melee,Type: Cursed,"Deploy: Boost all Lubberkins in your Hand, Deck and Graveyard by 5.
Deathwish: Summon a Lubberkin.
"
Dandelion,Strength: 8,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Northern Realms,Position: Multiple,,"Deploy: Boost up to 3 Units in your Deck by 3.
"
Ambassador,Strength: 2,Group: Bronze,Rarity: Common,Loyalty: Disloyal,Faction: Nilfgaard,Position: Melee,,"Deploy: Boost an Ally by 10.
"
Assassination,Group: Gold,Rarity: Legendary,Faction: Nilfgaard,Position: Event,Type: Special,,,"Lock and Destroy an Enemy.
"
Assire Var Anahid,Strength: 10,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Nilfgaard,Position: Siege,Type: Mage,"Deploy: Shuffle up to 2 cards from your Graveyard into your Deck.
"
Clan Dimun Pirate,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Skellige,Position: Multiple,,"Veteran: Strengthen self by 1.
Deploy: Discard all copies of this Unit from your Deck.
"
Clan Dimun Pirate Captain,Strength: 4,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Multiple,,,"Veteran: Strengthen self by 1.
Boost this Unit by 1, wherever it is, whenever you Discard a unit.
"
Dethmold,Strength: 3,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Northern Realms,Position: Siege,Type: Mage,"Deploy: Spawn Torrential Rain, Alzur’s Thunder or Clear Skies.
"
Dijkstra,Strength: 4,Group: Gold,Rarity: Legendary,Loyalty: Disloyal,Faction: Northern Realms,Position: Multiple,,"Deploy: Play the top 2 cards (including Golds) from your Deck.
"
Dun Banner Heavy Cavalry,Strength: 2,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Northern Realms,Position: Siege,,"Deploy: Remove Armor from 2 Units and Boost self by the amount of Armor removed.
"
Auckes,Strength: 4,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Nilfgaard,Position: Ranged,Type: Witcher,"Deploy: Toggle 2 Units’ Lock. if Enemies, also Damage them by 1.
"
Black Infantry Arbalest,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Nilfgaard,Position: Ranged,,"Deploy: Damage an Enemy by 3. If it was Boosted, Damage it by 5 instead.
"
Cahir,Strength: 5,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Nilfgaard,Position: Multiple,"Type: Doomed, Relentless","Deploy: If Nilfgaard, trigger your Leader’s Deploy ability.
"
Dun Banner Light Cavalry,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Northern Realms,Position: Ranged,,"Turn Start: If you have not passed and are losing the Round by more than 20 Power, Summon this Unit.
"
Field Medic,Strength: 3,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Northern Realms,Position: Siege,,"Deploy: Shuffle a different Bronze Ally back into your Deck, then play a random Bronze Unit from your Deck.
"
Cantarella,Strength: 10,Group: Silver,Rarity: Epic,Loyalty: Disloyal,Faction: Nilfgaard,Position: Multiple,Type: Doomed,"Deploy: Draw a card (including Golds). Keep it, or place it at the bottom of your Deck and Draw another.
"
Ceallach,Strength: 8,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Nilfgaard,Position: Melee,,"Deploy: Move 2 Bronze Spying Enemies to your side.
"
Combat Engineer,Strength: 2,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Nilfgaard,Position: Siege,,"Deploy: Toggle a Unit’s Resilience.
"
Cynthia,Strength: 4,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Nilfgaard,Position: Ranged,Type: Mage,"Deploy: Reveal the Highest unit (including Golds) in your opponent’s Hand and Boost self by the Revealed Unit’s Power.
"
Daerlan Foot Soldiers,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Nilfgaard,Position: Melee,,"When this Unit is Revealed, play it and Draw a card.
"
Emhyr Var Emreis,Strength: 3,Group: Leader,Rarity: Legendary,Faction: Nilfgaard,,,,"Spawn: Emhyr var Emreis
Deploy: Return an Ally to your Hand, then play a card from your Hand.
"
Emissary,Strength: 2,Group: Bronze,Rarity: Rare,Loyalty: Disloyal,Faction: Nilfgaard,Position: Multiple,,"Deploy: Draw 2 Bronze Units (other than an Emissary). Play 1 and shuffle the other back.
"
Foltest,Strength: 4,Group: Leader,Rarity: Legendary,Faction: Northern Realms,,,,"Spawn: Foltest
Deploy: Boost all Units in your Hand and Deck by 1.
"
Henselt,Strength: 2,Group: Leader,Rarity: Legendary,Faction: Northern Realms,,,,"Spawn: Henselt
Deploy: Summon all copies of a Bronze Ally.
"
