restname,address,opening hours,contact
,,,
Hana-hana,"1 Tras Link #01-18 Orchid Hotel, Singapore 078867","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 10:30PM
Closed:
Sun",6222 7363
,,,
Paradise Classic,"#B1-110 Suntec City Mall, 3 Temasek Boulevard,, Singapore 038983","
Opening hours:
Lunch: 11:30AM to 3:15PM
Dinner: 5:45PM to 10:00PM",65 63364048
,,,
Hokkaido Izakaya,"95 Tanjong Pagar, Singapore 088516","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 12:00AM",6221 7118
,,,
Star Yong Kwang BBQ Seafood,"Bukit Merah Lane 1 Block 120, Alexandra Village Food Centre, , Singapore 150120","
Opening hours:
4:00PM to 10:00PM",92472018
,,,
Lee Do (Cold Crab) Restaurant Pte Ltd,"61 Ubi Ave 2 #01-13 Automobile Megamart , Singapore 408898","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30AM to 11:00PM
Closed:
Mon",67422181
,,,
The Original Katong Laksa,"331 Upper Paya Lebar Road, Singapore 534949","
Opening hours:
10:00AM to 9:30PM",97361833
,,,
VLV,"3A River Valley Road #01-02, Singapore 179020","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 10:00PM",+65 6661 0197
,,,
Benson Salted Duck Rice,"Blk 168 Toa Payoh Lorong 1 #01-1040 , Singapore 310168","
Opening hours:
9:00AM to 7:00PM
Closed:
Thurs",97814042
,,,
Cut by Wolfgang Puck,"Marina Bay Sands, B1-71, Galleria Level , Singapore 018956","
Opening hours:
Mon-Thur: 5:30PM to 10:00PM
Fri-Sun: 5:30AM to 11:00PM",+65 6688 8517
,,,
Hong Yuan Seafood,"Blk 124 Toa Payoh Lor 1, Singapore 310124","
Opening hours:
Lunch: 10:30AM to 1:30PM
Dinner: 5:00PM to 10:30PM",8463 8011
,,,
Hashida Sushi,"#04-16 Mandarin Gallery, 333A Orchard Road, , Singapore 238897","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 7:00PM to 10:00PM
Closed:
Monday",+65 6733 2114
,,,
Sinn Ji Hainanese Chicken Rice,"275 Thomson Road, Novena Regency #01-05, Singapore 307645","
Opening hours:
11:00AM to 9:30PM",6258 0855
,,,
Wah Kee Big Prawn Noodle,"8 Raffles Avenue Esplanade Mall #01-13C, Singapore 039802","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner : 5:30PM to 11:30PM",63279187
,,,
Joël Robuchon Restaurant,"Level 1, Hotel Michael 8 Sentosa Gateway, Singapore  098269","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:00PM to 11:00PM
Closed:
Mon",(65) 6577 6688 or 6577 7888
,,,
Chao Shan Cuisine,"#01-01, Grand Building, 17 Phillip Street, , Singapore 048695","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 10:00PM","63362390, Nancy 92472227"
,,,
Roast Paradise,"51 Old Airport Road, Stall 121, Singapore 390051","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 4:30PM to 6:00PM
Sun: 11:30AM to 2:00PM
Closed:
Mon",91891017
,,,
Hoshino Coffee,"118 Holland Avenue 2,    #02-02,, Singapore 278997","
Opening hours:
Mon-Thurs: 11:00AM to 10:00PM
Fri-Sat: 10:00AM to 11:00PM
Sun: 10:00AM to 10:00PM",(65) 6262 4290
,,,
Ah Li Japanese Fusion Mee Pok,"Blk 710 Clementi West St 2, Singapore 120710","
Opening hours:
Lunch: 10:00AM to 2:00PM
Dinner: 6:00PM to 9:00PM
Closed:
Sat/Sun",97306670
,,,
Roxy Laksa,"73A Ayer Rajah Crescent, JTC LaunchPad @ one-north, #01-17, Singapore 139957","
Opening hours:
9:99AM to 6:00PM
Closed:
Sun",96302321
,,,
Legendary Bak Kut Teh,"42, 46 South Bridge Road, , Singapore  058676","
Opening hours:
11:00AM to 12:00AM",6292 0938
,,,
Joo Heng Restaurant,"360 Joo Chiat Road, Singapore 427605","
Opening hours:
Lunch: 11:00AM to 2:00PM
Dinner: 5:00PM to 10:00PM
Closed:
Mon",63451503
,,,
