restname,address,opening hours,contact,rating,conclusion,tags
Hana-hana,"1 Tras Link #01-18 Orchid Hotel, Singapore 078867","
Opening hours:
Lunch: 12:00PM to 2:30PM
Dinner: 6:30PM to 10:30PM
Closed:
Sun",6222 7363,4.25/5,"The food at Hana-hana is very good value.  I am not saying you will get top class Japanese food, but for a Japanese
meal, this is as cheap and good as it gets and you should leave the place feeling that you will want to go back again., ","1 THE MUST TRY LIST, Eat, Japanese Omakase, Restaurants"
Sinn Ji Hainanese Chicken Rice,"275 Thomson Road, Novena Regency #01-05, Singapore 307645","
Opening hours:
11:00AM to 9:30PM",6258 0855,,"It is really good to see young hawkerpreneurs who are willing to take a traditional recipe, innovate and make it even better.  This 25 year old’s chicken rice can easily rival some of the best ones which has been around for longer than he has!, 4.5/5, 4/5, 4/5","3 Next Gen Hawkers, 8 Thomson, Chicken Rice, Eat, Roast Chicken, Young Hawkerpreneurs"
Cut by Wolfgang Puck,"Marina Bay Sands, B1-71, Galleria Level , Singapore 018956","
Opening hours:
Mon-Thur: 5:30PM to 10:00PM
Fri-Sun: 5:30AM to 11:00PM",+65 6688 8517,,"This Highland ribeye steak is the best aged ribeye steak I have had.  However, I am still not convinced that I have tasted the kind of Highland beef that was proclaimed the best beef steak in the world. Looks like I will have to continue to push Chef Josh to continue to hunt down a piece of meat from one of Angus Mckay’s herd., ","2 Beef Cuts, 3 Michelin Guide Singapore, Eat, Michelin Star Restaurants, Restaurants, Steaks"
VLV,"3A River Valley Road #01-02, Singapore 179020","
Opening hours:
Lunch: 12:00PM to 3:00PM
Dinner: 6:00PM to 10:00PM",+65 6661 0197,"4.5/5, 4/5, ","The food at VLV is not cheap but the quality is excellent and the dishes showcase Chef Martin’s creativity and expertise in Cantonese style cuisine.  Housed in a two storey heritage building with a courtyard, the decor exudes an old world elegance that has been updated for a new generation which is very much in the same vein as the food., 4.5/5, 4/5, 4/5, 4.25/5","1 THE MUST TRY LIST, Cantonese Cuisine, Chinese, Chinese Restaurants, Eat, Restaurants"
Star Yong Kwang BBQ Seafood,"Bukit Merah Lane 1 Block 120, Alexandra Village Food Centre, , Singapore 150120","
Opening hours:
4:00PM to 10:00PM",92472018,"4.5/5, 4.25/5",", 4.25/5, 4.5/5, 4.25/5","1 THE MUST TRY LIST, BBQ Seafood, Eat, Har Cheong Gai, Hor Fun, Young Hawkerpreneurs, Zi Char"
Benson Salted Duck Rice,"Blk 168 Toa Payoh Lorong 1 #01-1040 , Singapore 310168","
Opening hours:
9:00AM to 7:00PM
Closed:
Thurs",97814042,3.5/5,"Bit of a mixed reaction about this particular stall. Some of our kakis loved it so much they have already been back to eat it again. Others like me found the novelty of a white duck worth at least giving a try., 4/5, 4.25/5, 4/5","8 Toa Payoh, Eat, Salted Duck"
Paradise Classic,"#B1-110 Suntec City Mall, 3 Temasek Boulevard,, Singapore 038983","
Opening hours:
Lunch: 11:30AM to 3:15PM
Dinner: 5:45PM to 10:00PM",65 63364048,"4.25/5, 4/5","This menu tasting was part of our mid-week makan session.  All our kakis paid a set price for the meal and there was no obligation to write about the food.  No fees were paid for this review., 4.5/5, 4.25/5, 4/5, 4.25/5, 4/5","Chinese Restaurants, Eat, Restaurants"
Lee Do (Cold Crab) Restaurant Pte Ltd,"61 Ubi Ave 2 #01-13 Automobile Megamart , Singapore 408898","
Opening hours:
Lunch: 11:30AM to 3:00PM
Dinner: 5:30AM to 11:00PM
Closed:
Mon",67422181,"4.25/5, 4/5",", 4.5/5, 4.5/5, 4.5/5, 4/5","1 THE MUST TRY LIST, 3 Heritage Restaurants, Chinese Restaurants, Eat, Fuzhou, Restaurants"
Hong Yuan Seafood,"Blk 124 Toa Payoh Lor 1, Singapore 310124","
Opening hours:
Lunch: 10:30AM to 1:30PM
Dinner: 5:00PM to 10:30PM",8463 8011,"4.5/5, 4.25/5, 4/5, 3.75/5","Most of the dishes are good overall and their signature white bee hoon is quite unique and satisfying.  On top of that, they have an air-con area where you can enjoy the food!, 4.25/5, 4.25/5, 4/5","8 Toa Payoh, Eat, Fish Head Curry, Har Cheong Gai, Seafood White Beehoon, Zi Char"
Hokkaido Izakaya,"95 Tanjong Pagar, Singapore 088516","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 6:00PM to 12:00AM",6221 7118,"4/5, 4.25/5","This review was written as part of a media tasting.  This  means that we were hosted to the meal but there was no obligation to write a review, nor was there any payment made for this write up., 4.5/5, 4.25/5, 4/5","8 CBD, 8 Tanjong Pagar, Eat, Japanese, Japanese - Izakaya, Japanese - Soba, Japanese Restaurants, Restaurants"
