HREF,CONAME,BIZADD,TEL,EMAIL,DATE_SCRAPED,FAILMSG
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75869&sid=F3B248CF6BFB78F1D83CDDFE187A1C08,KW AQUATIC SUPPLIES SDN BHD,"506, JLN AYER ITAM  11400 PULAU PINANG",04 - 8282613,sales@kwaquatic.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4306&sid=42F9EE191F4193100D1E5A7B5FAC386B,INTERCEDAR INDUSTRY (M) SDN BHD,"LOT 1339, 29TH MILE, MUKIM ULU YAM BATANG KALI 44300 SELANGOR",03 - 60752067,Iisb_hr@yahoo.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93935&sid=4D256CF5FE5025DC165C061EEA94ADF6,ECOPHA SDN BHD,21 JALAN IKS BUKIT TENGAH TAMAN IKS BUKIT TENGAH 14000 PULAU PINANG,04 - 5070028,sales@ecopha.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90662&sid=6B47272F957D05E64C6A3CFB9647B978,INNATE SYNERGY SDN BHD,NO 21 LEBUH NIPAH 5 SUNGAI NIBONG BAYAN LEPAS 11900 PULAU PINANG,04 - 6457293,niks@innatesynergy.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94213&sid=AC35431D5B4E220B154C5ED8017AA99C,DIVERSEY (MALAYSIA) SDN BHD,NO 6 JALAN PENGARAH U1/29 HICOM GLENMARIE INDUSTRIAL ESTATE SHAH ALAM 40150 SELANGOR,03 - 55696363,audri.loo@sealedair.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76240&sid=4D35D55C21B2E61E04F90A6E820AAC64,WORLDWIDE TRACTORS SDN BHD,"NO. 14, GROUND FLOOR JLN ASAM TMN SELATAN 41200 SELANGOR",03 - 33728200,alicechu@vapro.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95530&sid=858D22EABECBBE3442F3F717844B9FB4,WINKO MARKETING SDN BHD,"LOT 21,LENGKOK OSELAT SELATAN 12, CEMPAKA EMAS IND.PART, PANDAMARAN PORT KLANG 42000 SELANGOR",03 - 31679886,nixon@winko.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9768&sid=07BCF5D3823A697D6385FAA000E51834,SUNZEN BIOTECH BERHAD,11 JLN ANGGERIK MOKARA 31/47 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,03 - 51218998,info@sunzen.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73172&sid=2802E7DDADD54A2E696CB922F4D194CA,CLARIS CHEMICALS SDN BHD,"LOT D12-1-1, BLOCK D12 DANA 1 COMMERCIAL CENTRE JALAN PJU 1A/46 47301 SELANGOR",03 - 78427377,sharon.teh@claris.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15998&sid=C42BA9490E7461830BC71C2D4F6D6AC8,KARCI JAYA ENTERPRISE SDN BHD,"69 JALAN TABLA 33/21 SHAH ALAM TECHNOLOGY PARK SECTION 33, SHAH ALAM 40400 SELANGOR",03 - 51217729,karci@tm.net.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104645&sid=0F0784AD826CC1CA7BB3E019F35E2AFA,WI AGRO TECHNOLOGIES,NO 31 JALAN UBIN TAMAN MELEWAR BATU CAVES 68100 SELANGOR,016 - 2273548,megatamirul90@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94242&sid=F3A6F937FFB885C700166D141FC3BF88,CENTRIONICS SDN BHD,NO 23 JALAN SUNGAI JERLUH 32/196 BUKIT KEMUNING SEKSYEN 32 40460 SELANGOR,03 - 55252568,info@centrionics.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67426&sid=8943D9A829FE636CD12D914D8C7E1529,SCENT PUR MANUFACTURING (M) SDN BHD,"PLOT 4 PT 2228 & PLOT 7 PT 2229 JLN BATU ARANG BT 23 KG SG BAKAU, RAWANG 48000 SELANGOR",03 - 89326682,admin@scentpur.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37294&sid=EF2529EE59B27C7E2DA00124B59FE03C,PROBASE MANUFACTURING SDN BHD,"NO.70 & 72, JLN PINANG 23 TAMAN DAYA JOHOR BARU 81100 JOHOR",07 - 3556122,marketing@probase.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103974&sid=571D0B7F48400A52BA1B07CE17AD009E,GWI MANUFACTURING SDN BHD,16B JALAN JOHOR 2 TAMAN DESA CEMERLANG ULU TIRAM 81800 JOHOR,07 - 8618321,siti.zubaidah@goldenwipl.com.sg,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92909&sid=26AAB5B5B596BFC27893B58CE38E0265,SS MINERALS TRADING SDN BHD,PRESIDENT HOUSE SUITE 3014 3RD FLOOR JALAN SULTAN ISMAIL 50250 KUALA LUMPUR,03 - 21105789,ssminerals.trading@spgmining.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82759&sid=5B54C89322C9D5D64F22AFBC16F160DE,PAKAR GO GREEN SDN BHD,"PAKAR GO GREEN SDN BHD C-01-11, JALAN SRI KENARI 12 TAMAN SRI KENARI, KAJANG 43000 SELANGOR",03 - 87409728,info@pakar.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10916&sid=5FD071803BD20DD97B7441F6F840D567,FIRST BASE LABORATORIES SDN BHD,"15-1, JALAN PJU 8/3B DAMANSARA PERDANA PETALING JAYA 47820 SELANGOR",03 - 89433252,angelayong@base-asia.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104045&sid=8D0F5BC73892E249C54A9727C95DBF10,AA TECHNOLOGIES SDN BHD,PT 14491 PERSIARAN BATU GAJAH PERDANA 4 TAMAN PERINDUSTRIAN BATU GAJAH PERDANA BATU GAJAH 31000 PERAK,05 - 3633815,aatechnologiessdnbhd@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46571&sid=F831A9CDB25EFB12A6DE97614F3AE1D2,POLY TEMASEK SDN BHD,NO.9 JLN BANANG 2 TMN JOHOR INDUSTRIAL AREA JOHOR BAHRU 81200 JOHOR,07 - 2388128,info@polytemasek.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64101&sid=F8A00BB711F9710579B8B072824C8A6D,QUALITEST ENGINEERING SDN BHD,"LOT PT5011, TELUK KALONG INDUSTRIAL ESTATE KEMAMAN 24007 TERENGGANU",09 - 8633188,kamarul.azam@qesb.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9547&sid=D2BCB6189622E4CA5815289B5C769CE5,DURA INTERNATIONAL SDN BHD,"WISMA LEOPAD, 2ND FLOOR NO. 5 BRICKFIELDS JALAN TUN SAMBANTHAN BRICKFIELDS 50470 KUALA LUMPUR",03 - 22723117,sales@durainternational.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98333&sid=4DF4955E768EB224C0823CA54F8BB5E7,DESANS SOLUTIONS SDN BHD,"NO 116, JALAN PERDAGANGAN 1, TAMAN UNIVERSITI SKUDAI 81300 JOHOR",012 - 5272676,admin@desans.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99082&sid=91A56C98DECE658851DE35B1883BB490,SEVEN HEAVEN ONLINE,B1-18 (1ST FLOOR) JALAN 2/142A MEGAN PHOENIX KM10 CHERAS 56000 KUALA LUMPUR,03 - 91077105,sevenheavenonline@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93579&sid=2D3CCCC9CB9464E81052E5E80407536E,ELIT MESTIKA SDN. BHD.,8431 SUNGAI DUA  13800 PULAU PINANG,013 - 4868688,emy242112@gmail.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99487&sid=7FAC5580AAEA1CF8C8B7B72988C6A0B6,NEW GENERATION AVIATION SDN BHD,NO 7 JALAN DAHLIA 6/2 BANDAR BARU SALAK TINGGI SEPANG 43900 SELANGOR,012 - 3309964,info@nga.com.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10636&sid=B0D54E748E04F49BFB2A525D170679B6,SUN JIANG TRADING SDN BHD,"LOT 2660, KG BARU SG BULOH SG BULOH  47000 SELANGOR",03 - 61571603,scteow@sunjiang.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72586&sid=910D121ACA61CF6BAEC977BFADA687F1,NIKOM CARBON INDUSTRIES SDN BHD,"NO.17 JLN MERU INDAH 20, OFF PERSIARAN HAMZAH ALANG TMN MERU INDAH KAPAR 42200 SELANGOR",03 - 33926998,nikom8sb@tm.net.my,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99766&sid=79E0F11FB5F7D3EA252F16CE10BA119F,GRID SYSTEM SDN BHD,LOT 184 &1 85 JALAN SUGAI PINANG 5/6 PULAU INDAH INDUSTRIAL PARK WEST PORT PORT KLANG 42920 SELANGOR,03 - 31015188,gridsystemsb@gamil.com,'2017-09-14,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40957&sid=8A5736DF74A20D11A2D04E3AD110B84A,BSSTECH CP (M) SDN BHD,"11, LOT 149, JALAN MELATI BANDAR BUKIT BERUNTUNG RAWANG 48300 SELANGOR",03 - 60281052,syarifah.nazliah@piezzoe.com.my,'2017-09-14,
