CONAME,BIZADD,DATE_SCRAPED,HREF,EMAIL,TEL,FAILMSG
GOLD CHAIN PRESTIGE (M) SDN BHD,"11A, JALAN NILAM BAGAN AJAM BUTTERWORTH 13000 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75856&sid=DC1F0983D6589DBF0B1CE0143ECAE00D,goldchainprestige@gmail.com,012 - 4738038,
RNC ENTERPRISE,GROUND FLOOR LOT 7 BLOCK C PHASE 2 TMN GRANDVIEW SANDAKAN 90000 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96734&sid=BA6A3C26C57082F89BDD1046B4BB6CDD,inquiry@rncenterprise.net,012 - 8441087,
BEST FARMS COMPANY,"LOT 36B, KG SRI INDAH B DEPAN SURAU NURUL IMAN SG BULOH 47000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8716&sid=61F3E0D1821E50BC0D8E1978B1DCAB20,bestfarms123@gmail.com,013 - 3951000,
GAHARU ENTERPRISE,KAMPUNG TAMPI-TAMPI DARAT PETI SURAT 825 SEMPORNA 91208 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104671&sid=8309E76CC6DE518515697A555B29A8B6,samidmaalani59@yahoo.com,019 - 4258276,
SME FRESH FOOD (M) SDN BHD,"LOT 784, PHASE III, DEMAK LAUT INDUSTRIAL PARK JALAN BAKO KUCHING 93010 SARAWAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13511&sid=21D35FA7816E60A2E177C18B427627D3,smefreshfood@gmail.com,01 - 35554961,
ADVANCED GREEN NANOTECHNOLOGIES SDN.BHD,NO 2 JALAN INDUSTRI USJ 1/11 TAMAN PERINDUSTRIAN USJ1 47600 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101021&sid=ACC873018A77A176304470B4F6940979,peter@agent-nano.com,03 - 80116317,
FALAH TRADE & RESOURCES SDN. BHD.,180-1 JALAN PUJ 3/8 TAMAN PUNCAK JALIL SERI KEMBANGAN 43300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101754&sid=F6BBEF60F39872EFB8749C2A66854E47,falahtraderesources@yahoo.com,03 - 89990831,
ROSFANIAGA SERVICES SDN BHD,"LOT 1769, EASTWOOD VALLEY INDUSTRIAL ESTATE, JALAN LOPENG BY PASS,  98000 SARAWAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95045&sid=9F91073B7A565C9E9223EAC2DBE320AB,rosfaniaga.rssb@hotmail.com,85 - 422696,
OMNI MAL AGENCIES SDN BHD,663-665 PENGKALAN CHEPA 2 INDUSTRIAL PARK   16100 KELANTAN,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53746&sid=1546E455FBA872A8920C9F10A8832F48,sales@omnimal.com,09 - 7733326,
MOS NUTRACEUTICAL SDN BHD,116 LORONG PUTRA A/1 KELANG LAMA KULIM 09000 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100507&sid=46747EB1211E54E5AA8ABE7FC96E4EBB,shahilafg88@gmail.com,016 - 4468181,
AGRICODE GREEN SDN BHD,"PLO 14, JALAN PERINDUSTRIAN SENAI 1 KAWASAN PERINDUSTRIAN SENAI 1 81100 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68723&sid=01610A958944AB58B150990CD8C9BD30,sirmin@agricode.com,07 - 3598288,
