EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL
dsrubberoh@yahoo.com.sg,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60880&sid=B9506ADB85DF6B9D36707245D337E2D3,DS RUBBER PRODUCTS SDN BHD,42 JALAN INDUSTRI 4/2 GOPENG INDUSTRIAL PARK GOPENG 31600 PERAK,,05 - 3572739
ellexlim@cooltecindustries.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8897&sid=65FD2B8040E257431E50FF3186BF8342,COOLTEC INDUSTRIES SDN BHD,"45, JALAN SESAMA TAMAN PERUSAHAAN RINGAN BATU CAVES 68100 SELANGOR",,03 - 61869969
erwanoon@eucord.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6088&sid=6E448A420FCCA33B737B146CB7BB7911,E.U. CONNECTOR (M) SDN BHD,"LOT C 10/46, LORONG PERUSAHAAN 6C KAW MIEL, KULIM PHASE II KULIM 09000 KEDAH",,04 - 4891505
addoilkl@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12672&sid=DD5B0F678804EEFE7D625986ED195EED,ADD OIL (M) SDN BHD,NO.23 JALAN SU 27 TAMAN SELAYANG UTAMA INDUSTRIAL PARK SELAYANG 68100 SELANGOR,,03 - 61204886
nazrim.faaiz@perodua.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105817&sid=E7B829895463CB81F39FBA2C9D45D0D5,PERODUA SALES SDN BHD,PERODUA AUTOMOTIVE CENTRE LOT 1896 LOCKED BAG 226 SG CHOH 48009 SELANGOR,,03 - 60928888
izumimsb@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11412&sid=D292D261A4E0B3D43581FF90E449B09E,IZUMI (MALAYSIA) SDN BHD,P.O. BOX 110 TAIPING GENERAL POST OFFICE TAIPING 34008 PERAK,,05 - 8914922
hayma@precico.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10000&sid=13AD00BE7859E9BADEDB25892F2CF89C,PRECICO SDN BHD,"PLOT 410, LORONG PERUSAHAAN 8B PRAI INDUSTRIAL ESTATE PRAI 13600 PULAU PINANG",,04 - 3883177
ckcha@wsaventure.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94160&sid=2A2AE25CABC8C02ADBDEE470B0CE6F61,WSA VENTURE AUSTRALIA (M) SDN BHD,"N0.7, JALAN KAMUNTING 1, SEKSYEN BB6, BANDAR BUKIT BERUNTUNG, 48300 RAWANG, SELANGOR DARUL EHSAN 48300 SELANGOR",,03 - 60879774
jo@apm.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85031&sid=5F717A06323617C3FC90C9B93F660F0F,APM AUTO PARTS MARKETING (MALAYSIA) SDN BHD,"LOT 1, JALAN RAJA LUMU PANDAMARAN INDUSTRIAL ESTATE PORT KLANG 42008 SELANGOR",,03 - 31618763
jasonleong817@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100790&sid=212219EF5E5BB46E2BC4047EA8CA7B4D,SAINTY OCEAN LINE SDN BHD,1025 JALAN CHAIN FERRY TAMAN KIMSAR PERAI 13700 PULAU PINANG,,04 - 3905600
scott.lim@totalgardmarketing.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99938&sid=398C14D64F79C014F960F0306CA19E87,TOTALGARD MANUFACTURING SDN BHD,14 JALAN METRO PERDANA BARAT 9 SRI EDARAN KEPONG  52100 KUALA LUMPUR,,03 - 62593018
ballan@arthri.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99935&sid=A36FFAF1E4F331B6501849EA7B748838,ARTHRI (M) SDN BHD,NO 12 JALAN BK5/14B BANDAR KINRARA PUCHONG PUCHONG 47100 SELANGOR,,03 - 80715275
