EMAIL,HREF,FAILMSG,CONAME,DATE_SCRAPED,TEL,BIZADD
ginseng-mal@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13177&sid=C7055088012D35BB908121DC255ED2D4,,GIN SENG INDUSTRIAL (M) SDN BHD,'2017-08-02,05 - 3212030,"610, JALAN PASIR PUTEH IPOH  31650 PERAK"
info@bestimeglobal.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102763&sid=6471790EF4F581306DD3915B12FDF977,,BESTIME GLOBAL SDN BHD,'2017-08-02,03 - 58856811,"SERIA 88 BUSINESS CENTRE 37-1F, JALAN SETIA PERDANA U13/BE, SEKSYEN U13 SETIA ALAM, SHAH ALAM 40170 SELANGOR"
info@bkc.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10575&sid=DA376123AF6DD83B095A467B9D671FAF,,BEH KWANG CHEE ENTERPRISE SDN BHD,'2017-08-02,04 - 4418833,"6458, JALAN AYAM DIDIK 2 KAW PERUSAHAAN RINGAN TAMAN RIA JAYA SUNGAI PETANI 08000 KEDAH"
partner@arche-group.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103008&sid=DFE91E7AED3DA2F9FD73B93CE641AC38,,ARCHE GROUP SDN BHD,'2017-08-02,012 - 7367257,15-1 JALAN PJU 5/20B THE STRAND KOTA DAMANSARA PETALING JAYA 47810 SELANGOR
thewintrade@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87001&sid=17BD849FD893C56DC8A5A20CEB24F0A5,,THE WIN TRADE,'2017-08-02,09 - 5164888,B-110 1ST FLOOR JALAN HAJI AHMAD 25300 PAHANG
louisa@citycafe.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76960&sid=B1BF7B4E8FB13DBF028ED6B28AA21AD2,,TECK LEE SENG COFFEE PRODUCTS SDN BHD,'2017-08-02,082 - 432168,"LOT 916, BLOCK 7, MTLD DEMAK LAUT INDUSTRIAL PARK, PHASE 3 KUCHING 93050 SARAWAK"
ammay_ter@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56620&sid=FB0B40186B414F9E7FC7A5740220E3DC,,PUREMIX SDN BHD,'2017-08-02,03 - 31656257,"17, 19 & 21, LORONG PERMAI 1A TAMAN PANDAMARAN PERMAI PORT KLANG 42000 SELANGOR"
mb_products@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56762&sid=EFAD28ECFB579C7FFD3AAE6C2B7730E6,,M B PRODUCTS (M) SDN BHD,'2017-08-02,06 - 3179280,"2A, JALAN MJ 55 TAMAN MERDEKA JAYA BATU BERENDAM 75350 MELAKA"
vincent@pegroglobal.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105827&sid=13AFCA5B72BAE7D33D6822C476E10863,,PEGRO GLOBAL EXPORTS (M) SDN BHD,'2017-08-02,03 - 61422242,NO 26-1 JALAN PJU 5/20D THE STRAND KOTA DAMANSARA PETALING JAYA 47810 SELANGOR
admin@shaner.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93934&sid=5CFBA9FD7A5191CB8BAE7E709C957AC3,,SHAN ER FOOD SDN BHD,'2017-08-02,017 - 3530216,MP 25 LESUNG BATU JAYA 1 TAMAN LESUNG BATU JAYA ALOR GAJAH 78000 MELAKA
