EMAIL,FAILMSG,TEL,HREF,CONAME,DATE_SCRAPED,BIZADD
info@tmkcarbon.com.my,,05 - 6486133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42269&sid=3E51B36C9098DF1D784559A55F106F67,TAN MENG KEONG SDN BHD,'2017-08-04,"LOT 450, SG BARU JALAN RUNGKUP, SG TIANG BAROH SELEKOH BAGAN DATOH 36200 PERAK"
tham-wah.yee@mitsubishicorp.com,,03 - 21611255,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74859&sid=4EB492651792C5A400A98832EA178208,SINAR BERLIAN SDN BHD,'2017-08-04,"LEVEL 18, MENARA 3 PETRONAS PERSIARAN KLCC  50088 KUALA LUMPUR"
chris@centrewest.com.my,,03 - 32929391,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75259&sid=5A05C7BDBA98A88D62FB67BDEED9EE29,ALPHA NANOTECH SDN BHD,'2017-08-04,"9 JLN TSB 8, TMN INDUSTRI SUNGAI BULOH,  47000 SELANGOR"
mohd-nazri.ismail@umw.com.my,,03 - 51635000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15542&sid=5D08E13BD1A5C015C10F2578842B0390,UMW ADVANTECH SDN BHD,'2017-08-04,P.O. BOX 7052 JALAN UTAS 15/7 SHAH ALAM 40915 SELANGOR
lstan@lelab.com.my,,03 - 55253833,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42744&sid=BFA27B17ACF66E4BDB652D007683DC24,LELAB SDN BHD,'2017-08-04,"18 JALAN SUNGAI BURUNG U32/U SEKSYEN 32 BUKIT RIMAU, SHAH ALAM 40460 SELANGOR"
dcisb2000@gmail.com,,088 - 716336,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7828&sid=E5851C327713F3BCA65D2CD09687C940,DAILY CHEMICAL INDUSTRIES SDN BHD,'2017-08-04,"3RD FLOOR, LOT 46-3F, BH BUNDUSAN PLAZA PENAMPANG, KOTA KINABALU 88807 SABAH"
manimore_tan@hotmail.com,,088 - 750915,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2402&sid=F5CEF20510F42B9B20B53C414C9B67E9,MAMMORE RESOURCES SDN BHD,'2017-08-04,"P.O.BOX 14479, KOTA KINABALU,  88851 SABAH"
gridsystemsb@gamil.com,,03 - 31015188,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99766&sid=79E0F11FB5F7D3EA252F16CE10BA119F,GRID SYSTEM SDN BHD,'2017-08-04,LOT 184 &1 85 JALAN SUGAI PINANG 5/6 PULAU INDAH INDUSTRIAL PARK WEST PORT PORT KLANG 42920 SELANGOR
tonsoon@tm.net.my,,03 - 89949533,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12776&sid=C8EB91B173C74C6F7CEAC760CFEF9C34,DANSOON CHEMICALS SDN BHD,'2017-08-04,JALAN JALIL JAYA 1 JALIL LINK BUKIT JALIL 57000 SELANGOR
marketing@rica.com.my,,03 - 87416951,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11680&sid=7C087587076886348EC441251964E49C,RICA MARKETING SDN BHD,'2017-08-04,"LOT 2134, JALAN BA/3, KAWASAN PERUSAHAAN BUKIT ANGKAT KAJANG 43000 SELANGOR"
helena@accel.com.my,,03 - 51314288,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10607&sid=556F5A54323676ECC155AC3CA34E8720,ACCEL GRAPHIC SYSTEM SDN BHD,'2017-08-04,LOT 1310 JALAN SG. PELUBUNG 32/144 SEKSYEN 32 SHAH ALAM 40460 SELANGOR
