FAILMSG,HREF,BIZADD,EMAIL,DATE_SCRAPED,TEL,CONAME
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81968&sid=164303B20EE0F48CB483E079E0737975,34 JALAN INDUSTRI USJ 1/6 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47600 SELANGOR,michaelchin0982@yahoo.com,'2017-08-04,03 - 80240992,ESPEN SYSTEMS SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8174&sid=5034E08FA6C19D6FF88FE0077A98F96F,"LOT 102, JALAN DUA KAW PERINDUSTRIAN OLAK LEMPIT BANTING 42700 SELANGOR",harith@nordintech.com,'2017-08-04,03 - 31494100,FILTERMATION (MFG) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8990&sid=FB8B5E7C02CA42E45773E9B08A8D212C,"C15-1, DATARAN PALMA JALAN SELAMAN 1 AMPANG 68000 SELANGOR",sherry@ampacasiapacific.com,'2017-08-04,03 - 42706477,AMPAC ASIA SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6909&sid=23709206FD689B551412A38C5FE251AE,"LOT 30, JALAN MODAL 23/2 SHAH ALAM  40300 SELANGOR",misasb@misasb.com.my,'2017-08-04,03 - 55483420,MISA SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84067&sid=58D8A2235F8E69DFD143C5471F164CA0,"4 & 6, JALAN LOMBONG EMAS 12 SEREMBAN LIGHT INDUSTRIAL PARK 2, JALAN TUN DR ISMAIL, SEREMBAN, NSDK 70200 NEGERI SEMBILAN",twincitysb@gmail.com,'2017-08-04,06 - 7630628,TWIN CITY ADVERTECH SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43253&sid=DADD394653CE68A67C9F8DA65A40E539,"JA955, PLOT 5C-D KAWASAN PERINDUSTRIAN MERLIMAU MERLIMAU 77300 MELAKA",utamacsb@gmail.com,'2017-08-04,06 - 2635151,UTAMA CABLES SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103892&sid=E7B6175E0A0ED230BD722249FB52EAE4,SURVEY LOT 8013 INDUSTRIAL BUILDING PHASE 9 SENADIAN ENTERPRISE PARK LUTONG MIRI 98100 SARAWAK,info@epsinar.com.my,'2017-08-04,085 - 656882,EP SINAR (M) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10290&sid=C998B60395275E70ECF949297FFDE9E0,"NO. 10, JALAN RAJAWALI 3 BANDAR PUCHONG JAYA PUCHONG 47100 SELANGOR",sales@kaohsiung.com.my,'2017-08-04,03 - 80757011,KAOH SIUNG TRADING SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93626&sid=20CEA6C5EB0C29A39CB027759C6CEA4F,NO 8 JALAN TPP 6/13 TAMAN PERINDUSTRIAN PUCHONG 47160 KUALA LUMPUR,charlesling.kpacific@gmail.com,'2017-08-04,03 - 80686278,KPACIFIC ENGINEERING SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100676&sid=97824E61CBC67C5903828CA767D4919E,NO 24 JALAN 6/91 TAMAN SHAMELIN PERKASA CHERAS 56100 KUALA LUMPUR,chtan@lanhoe.com.my,'2017-08-04,03 - 92811323,COOLWAY PRISM SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11766&sid=273766F89BF0ECD1158526C73D6C25AE,"SD 16, JALAN KIP II TAMAN PERINDUSTRIAN KIP  52200 KUALA LUMPUR",adam@cleanroom-industries.com,'2017-08-04,04 - 3981778,CLEANROOM INDUSTRIES SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98534&sid=D3BD06931A90B991E788327C1F980BC7,NO 47 JALAN PERNIAGAAN SETIA 3 TAMAN PERNIAGAAN SETIA JOHOR BAHRU 81100 JOHOR,maxwellcoddpiano@gmail.com,'2017-08-04,012 - 3456747,MAXWELL PIANO SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96599&sid=1440CAABC39A83EFB3C9682E46653747,63 JALAN ARA SD 7/4A BANDAR SRI DAMANSARA 52200 KUALA LUMPUR,ann.tai@mozzigon.com,'2017-08-04,03 - 62637570,SYARIKAT THIAM SIONG SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4820&sid=6180BBEBFE32B9076669D67FC0401915,"NO. 50, JALAN SATRIA 2 TAMAN TITIWANGSA KLUANG 86000 JOHOR",eesbesm@gmail.com,'2017-08-04,607 - 7729785,EVERBRIGHT ELECTRONICS SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93630&sid=4495E7120C430E40EF6F7303ED1A7EB9,NO 8 JALAN TPP 6/13 TAMAN PERINDUSTRIAN PUCHONG 47100 KUALA LUMPUR,keruilaipacific@yahoo.com,'2017-08-04,03 - 80686278,KERUILAI PACIFIC SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14819&sid=8C4AE317DE7BED82874659F06B299A7F,"24, JALAN 6/91 TAMAN SHAMELIN PERKASA  56100 KUALA LUMPUR",chtan@lanhoe.com.my,'2017-08-04,03 - 92811323,LAN HOE ENTERPRISE (1979) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70093&sid=E1695DD31D51A69545DB8C6BFABBAE58,"27B, JALAN ANGGERIK ARANDA C 31/C KOTA KEMUNING SHAH ALAM 40460 SELANGOR",labsci@gmail.com,'2017-08-04,03 - 51248299,LAB SCIENCE SOLUTION SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94556&sid=255A8FD21DED533977969C71181F7E8E,39B JALAN TS 6/10A TAMAN INDUSTRY SUBANG JAYA SUBANG JAYA 47610 SELANGOR,jasawali2010@gmail.com,'2017-08-04,03 - 56315727,JASAWALI SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3520&sid=826697F862BF72E584F96E897920DC13,"LOT 5, 17  1/2 MILE, JALAN IPOH RAWANG INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",export.sales@unitedms.com.my,'2017-08-04,03 - 60914146,UNITED MS ELECTRICAL MFG (M) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94480&sid=C07A38D4F3DCD726FB9C35C9C24BFF98,6-5-38 KOMPLEKS FARLIM LEBUHRAYA THEAN TEIK  11500 PULAU PINANG,SBT_MY_SALES@SWIFTBRIDGETECHNOLOGIES.COM,'2017-08-04,04 - 8270400,SWIFT BRIDGE TECHNOLOGIES (M) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96017&sid=757DA3488F730639BE81D38AA4ACF79A,SETIA BUSSINESS PARK II NO 18 JALAN PERNIAGAAN SETIA 7 TAMAN PERNIAGAAN SETIA 81100 JOHOR,Fairushshah@msinewenergy.com,'2017-08-04,07 - 5506818,MS INNOVATION NEW ENERGY SDN.BHD.
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10224&sid=F44323BBBD056A77267A3AF8FC221D6E,"1100, JALAN PERINDUSTRIAN BKT MINYAK 7 MUKIM 13, KAW PERINDUSTRIAN BKT MINYAK SIMPANG AMPAT, SEBERANG PERAI TENGAH 14100 PULAU PINANG",sales@uwcelectric.com,'2017-08-04,04 - 5023635,UWC ELECTRIC (M) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94546&sid=E935968CF4BB578474A82423CF2416A9,NO 42-4 JALAN KUCHAI MAJU 10 KUCHAI ENTREPRENEURS' PARK OFF JALAN KUCHAI LAMA 58200 KUALA LUMPUR,info@lpsystem.com,'2017-08-04,03 - 79805911,LIGHTNING PROTECTION SYSTEM SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76281&sid=2802DDCBDE8FC1C65CCB80281A1BEF3A,1 JALAN PUTRA MAHKOTA 7/8D PUTRA POINT BUSINESS CENTRE PUTRA HEIGHTS 47650 SELANGOR,syndyyap@recogine.com.my,'2017-08-04,03 - 51914390,RECOGINE TECHNOLOGY SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94614&sid=AE2E408A59AF3CC3300B686AD6C5707D,SUITE 18.1 MENARA GENESIS (HSBC TOWER) 33 JALAN SULTAN ISMAIL 50250 KUALA LUMPUR,info@infinity-platinum.com,'2017-08-04,03 - 21412682,INFINITY PLATINUM (M) SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94796&sid=0E84C1666B34A5A0D61D3897AEB29EAC,2B-19-3 PLAZA SENTRAL JALAN STESEN SENTRAL 5 50470 KUALA LUMPUR,piangchoong.yap@futureworld.com.my,'2017-08-04,03 - 22614296,MY FUTUREWORLD SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8052&sid=FFFD283EB83B8A2EC7EA6215B71A2C27,"REVONGEN CORPORATION CENTER NO 12A JLN TP5, TMN PERINDUSTRIAN UEP SUBANG JAYA 47600 SELANGOR",international@vivantechnologies.com,'2017-08-04,03 - 80251603,VIVANTIS TECHNOLOGIES SDN BHD
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94795&sid=6AD54483436FF29C2F4720A5E5390B82,2B-19-3 PLAZA SENTRAL JALAN STESEN SENTRAL 5 KL SENTRAL 50470 KUALA LUMPUR,piangchoong.yap@futureworld.com.my,'2017-08-04,03 - 22614013,NORIKO SDN BHD
