EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL,
SUPPORT@INVERPOWER.COM.MY,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98523&sid=8F0D0E147B96697413C52305264E6828,INVERPOWER SDN BHD,12 JALAN INDUSTRI USJ 1/5 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47600 SELANGOR,,03 - 80816726,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
yuh@samakebel.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12150&sid=29F45BC0B223A73FDCF5E1A44B60D342,SAMA KEBEL SDN BHD,"LOT 16, JALAN RP3 RAWANG PERDANA INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",,03 - 60921353,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sslee@lsb-auto.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13274&sid=1AEF5160F24361F59B8184A64A013ACA,LSB AUTOMATION SYSTEM,"17, JALAN SBJ 13, TAMAN INDUSTRI SB JAYA, SUNGAI BULOH 47000 SELANGOR",,603 - 61566208,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ipsh@ipsh.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76062&sid=AA09E4225A1FEA16C8B26DBEBB7047AC,IPSH SDN BHD,8 JALAN PJU 3/46 SUNWAY DAMANSARA TECHNOLOGY PARK 47810 SELANGOR,,03 - 78039260,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
radzi@icmic.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58565&sid=F2E12C2D87AEAD10342DE04D887DB16C,IC MICROSYSTEMS SDN BHD,"B-G-03, COPLACE 2 2260, JALAN USAHAWAN 1 CYBERJAYA 63000 SELANGOR",,03 - 83191919,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@broadway-tech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103998&sid=2FBE815F32B5AC1E7520DD84DCF99CBE,BROADWAY PRECISION TECHNOLOGY SDN. BHD.,NO 1 JALAN KEMPAS LAMA 2/3 TAMAN KEMPAS LAMA  81200 JOHOR,,07 - 5549488,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
astey_bwe@kobaytech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=30281&sid=F23FC3AC333663921C5906C11BF35DB6,BEND WELD ENGINEERING SDN BHD,"LOT 3611, BATU 30 JALAN JOHOR PEKAN NENAS 81500 JOHOR",,07 - 6996889,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jooeasttesco@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107164&sid=56131BBA03ECAB574F3D8529E1C79E55,JOO EAST SDN BHD,LOT 866-E PT 26354 OFF JALAN BALAKONG BT 11 43200 SELANGOR,,03 - 90816959,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
setiaflex@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86075&sid=9291B3D89137F3C9EE2C6F135D190DC0,SETIAFLEX SDN BHD,101-2 JALAN RADIN BAGUS BANDAR BARU SRI PETALING 57000 KUALA LUMPUR,,03 - 90591808,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@srspower.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94970&sid=EE0F7D870E29223A3490C7C1EA9535F2,SRS POWER ENGINEERING SDN. BHD.,SRS PLANT NO 27 JALAN IMP 1 TAMAN PERINDUSTRIAN MERANTI PERDANA PUCHONG 47120 SELANGOR,,03 - 80517777,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
goldp@streamyx.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37750&sid=B57401B324D2DAD37161312CC63DB8BD,GOLDREIGN PLASTIC(M) SDN BHD,23 JALAN KESUMA 2/1 BANDAR TASIK KESUMA BERANANG 43700 SELANGOR,,03 - 87233600,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@edm-as.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11954&sid=840D006902449B942A05D8636E26FA39,EDMAS (M) SDN BHD,"NO.1, JALAN TPP 5/5, TAMAN PERINDUSTRIAN PUCHONG PUCHONG 47100 SELANGOR",,03 - 80624011,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
engineer1@dmr.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12195&sid=DA693DF9569B8D463C227CB1A18E6CCF,DMR DIVERSIFIED MANUFACTURING RESOURCES SDN BHD,"682, JALAN KEBUN BARU TAMAN PERINDUSTRIAN RINGAN JURU JURU 14100 PULAU PINANG",,04 - 5076233,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiries@megapower.net.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11611&sid=97675EAD1EE01C5DB4B251DAC6BCB64A,MEGAPOWER LEGRAND (M) SDN BHD,"LOT 1888,  JALAN KPB 7 KAW PERINDUSTRIAN BALAKONG BKT BELIMBING, SERI KEMBANGAN 43300 SELANGOR",,03 - 89623333,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
salespg@dualmatrix.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78059&sid=D5EDD89C9077B7D7A1466CC009026D77,DUAL MATRIX SDN BHD,1999 JALAN BUKIT MINYAK KAWASAN INDUSTRI RINGAN ASASJAYA BUKIT MERTAJAM 14000 PULAU PINANG,,04 - 5681808,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@edm.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12445&sid=B721CADD639C048D7EFDF945C391E854,ED FASTENING SDN BHD,"PLOT 362, JALAN PERINDUSTRIAN BUKIT MINYAK 20, PENANG SCIENCE PARK, MUKIM 13, SEBERANG PERAI TENGAH, 14100 PULAU PINANG",,04 - 5057781,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
hakss754@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90452&sid=9D754301EC92DE0D9F9ADB1EB2DF6B2E,HAKSMART SOCKET INDUSTRY SDN BHD,"18,JALAN LOMBONG EMAS 1 SEREMBAN LIGHT INDUSTRY PARK 2 70200 SEREMBAN 70200 NEGERI SEMBILAN",,06 - 7674872,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales6@bumicircuit.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94028&sid=6556D47F1411DFB0ABE79412106F9A3D,BUMICIRCUIT TECHNOLOGIES (M) SDN BHD,963 JALAN PERUSAHAAN KAWASAN PERINDUSTRIAN PERAI PERAI 13600 PULAU PINANG,,04 - 3802891,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@pamuri.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89932&sid=E338BF52D2EF583910D6BECB9773A29C,PAMURI TOKUTOKUYA SDN BHD,"UNIT G-02, GROUND FLOOR BLOCK C JALAN SS 20/27, DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR",,03 - 77283384,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
chyn@leadalways.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78027&sid=3D935821365A9834971606853EFD187A,LEADALWAYS SUSTAINABLE SOLUTIONS SDN BHD,"LEVEL 8, MCT TOWER SKY PRK, ONE CITY JALAN USJ 25/1 47650 SELANGOR",,03 - 80228361,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
mazlina@idot.tv,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41476&sid=9AFB328CD6D9DEDFC0BA63633D6C21DF,CLICKS NETWORK SDN BHD,"LEVEL 10, KELANA PARKVIEW TOWER JALAN SS6/2 PETALING JAYA 47301 SELANGOR",,03 - 78802001,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
radion555@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87175&sid=2FC9B0D091C13B379318CCE9FC5ABAD7,RADION MALAYSIA SDN BHD,"BS-12, GLENVIEW BUSINESS CENTRE JALAN KUARI, TAMAN PINGGIRAN CHERAS  56100 KUALA LUMPUR",,03 - 42939888,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
dayatekniktrading@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87242&sid=339A1BD2C75785ED4426F59FED440537,DAYA TEKNIK ENTERPRISE SDN BHD,"LOT 1780 MUKIM RAWANG SG. BAKAR, RAWANG 48000 SELANGOR",,03 - 60931410,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
