HREF,CONAME,TEL,EMAIL,FAILMSG,BIZADD,DATE_SCRAPED
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73258&sid=61442370F83A2180E68B6B4CE566C5C2,SUN THEW CHUN HUP KEE SAUCE MFR SDN BHD,05 - 2821260,info@sunthewchun.com,,"9, PSRN PEUSAHAAN KLEDANG UTARA 1/5 TMN PERINDUSTRIAN CHANDAN RAYA MENGLEMBU, IPOH 31450 PERAK",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94904&sid=2B810D5B8AC172B000FA1800A2C9A8D1,SERANTAU DESA INDUSTRIES SDN BHD,03 - 61850532,serantaudesa@gmail.com,,LOT 15 KOMPLEKS INDUSTRI MAKANAN MARA KM 13 OFF JALAN BATU CAVES 53300 KUALA LUMPUR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56421&sid=F40B077A499EE58AB89A9AD98A60D943,FUKUI CONFECTIONERY,03 - 78802217,fukuiproduct@yahoo.com,,"49, JALAN PJU 1A/42 ARA PERMATA, ARA DAMANSARA PETALING JAYA 47301 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98398&sid=A3042F02507906FD438A7F0224F3F6E7,EMPEROR MARINE MARKETING SDN BHD,05 - 6886888,eileenyong@manjungjv.com,,"LOT 10162 & 10163 KAWASAN PERINDUSTRIAN 1, SERI MANJUNG 32040 PERAK",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94217&sid=F50B7612CCC01588B909B491DF7E38CE,ETERNAL HARVEST MARKETING SDN BHD,03 - 42916601,eternalharvest.mkt@gmail.com,,"NO. 16, JALAN NOUVELLE NOUVELLE INDUSTRIAL PARK BALAKONG SERI KEMBANGAN 43300 SELANGOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106986&sid=D46BD2FECE8D9D730F87BB9353540265,TOKOH PROJECT MANAGEMENT SDN BHD,03 - 92858511,lukasz@tpm.asia,,NO 8 JALAN NIRWANA 1 TAMAN NIRWANA AMPANG 68000 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8035&sid=054C37F4F71CC96F0F2B19F8B9BBDBAA,SUPER FOOD MARKETING SDN BHD,07 - 3886868,enquiry@goldeagle.com.my,,"LOT 7648, MUKIM PLENTONG P.O. BOX 63 MASAI 81750 JOHOR",'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87001&sid=17BD849FD893C56DC8A5A20CEB24F0A5,THE WIN TRADE,09 - 5164888,thewintrade@yahoo.com,,B-110 1ST FLOOR JALAN HAJI AHMAD 25300 PAHANG,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101497&sid=8B89810D6F0C7473902FB160B3176142,SUPER FRUIT SDN BHD,03 - 90820310,general@superfruit.my,,NO 36 JALAN CJ15 KAWASAN PERINDUSTRIAN CHERAS JAYA BALAKONG 43200 SELANGOR,'2017-08-02
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6278&sid=E1F5488B984DF1B25F806644357BBA17,HTH SAUCE SDN BHD,03 - 61895554,hthsauce@yahoo.com,,18 LORONG PERUSAHAAN 3 KIMPAL INDUSTRIAL PARK BATU CAVES 68100 SELANGOR,'2017-08-02
