EMAIL,TEL,CONAME,BIZADD,HREF,DATE_SCRAPED,FAILMSG
nhtan@southernlatex.com,04 - 5828181,SOUTHERN LATEX PRODUCTS SDN BHD,"LOT 362, MK 12, VALDOR SG BAKAP SEBERANG PRAI SELATAN 14200 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6741&sid=A7B027C1D7DA55A1F898CB4BB0AE996A,'2017-08-04,
hrd@wonwaymfg.com,03 - 32918888,WONWAY MANUFACTURING SDN BHD,"40, JALAN PENGASAH 2 OFF JALAN KAPAR 3 3/4 MILE, KLANG 42100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6342&sid=5CEF75B778433380BB7D6E13D1DBB886,'2017-08-04,
subramd53@gmail.com,04 - 4224010,GALETAX CORPORATION SDN BHD,"57, JALAN SG TUKANG 2/1 KAW PERUSAHAAN SG TUKANG SG PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10881&sid=9CD502818191A1805C53C02D931FE441,'2017-08-04,
tlthum@cranberry.com.my,05 - 4348269,MULTISAFE SDN BHD,"LOT 764, BIDOR INDUSTRIAL ESTATE   35500 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=50737&sid=5294AEC735FD6E85FF2BBD0633D96EBE,'2017-08-04,
hlang@2rabond.com,04 - 4852355,HANDGARDE SDN BHD,"LOT 2B, KULIM INDUSTRIAL ESTATE KULIM  09000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=51584&sid=AF914131A9F4577E7393CA056E9475FD,'2017-08-04,
info@hartalega-kl.com.my,03 - 62771733,HARTALEGA SDN BHD,C-G-9 JALAN DATARAN SD1 DATARAN SD PJU 9 52200 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13432&sid=30DFB46BD54FDC49D2F8907A008226B3,'2017-08-04,
dgr.kathy@yahoo.com,03 - 32640125,DOMINOR GLOBAL RESOURCES SDN BHD,"LOT PT 4112, JALAN KERETAPI KAMPUNG API-API KUALA SELANGOR 45000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52266&sid=048533307E52F4C16AB7E598E66767FA,'2017-08-04,
expertslb@yahoo.com,012 - 2727155,EXPERTS' INTER TRADE (M) SDN BHD,LOT 03-32 KOMPLEKS PKNS  40000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12820&sid=D7BABD88C9D15A40CDFF7C505546F066,'2017-08-04,
sales@safeline-asia.com,04 - 4848288,SAFELINE ASIA SDN BHD,NO 262 LORONG DESA MAKMUR 7/2 TAMAN DESA MAKMUR LUNAS 09600 KEDAH,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104803&sid=A65F5E7E4423374E9DF7245FE95F8616,'2017-08-04,
sales@adventa-health.com,03 - 77729321,ADVENTA HEALTH SDN BHD,"NO 21, JALAN TANDANG 51/205A, SEKSYEN 51 PETALING JAYA 46050 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13287&sid=999FDF61D9A79B0B3E6379D77A97950D,'2017-08-04,
profiteng7@gmail.com,03 - 60931121,PPE MANUFACTURING SDN BHD,NO 35 JALAN 1/3 RAWANG INTEGRATED INDUSTRIAL PARK 48000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93777&sid=000B261B4B5A944363B237FBFD0CA653,'2017-08-04,
info@safetyware.net,04 - 5023882,SAFETYWARE SDN BHD,"PLOT 237, LENGKOK PERINDUSTRIAN BUKIT MINYAK 3, BUKIT MINYAK INDUSTRIAL ESTATE, SIMPANG AMPAT 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11522&sid=71E8921DFE6CB3A14F50295D4F414FEA,'2017-08-04,
chemicalininfo@gmail.com,05 - 2919657,CHEMICALIN ENTERPRISE,"36, GROUND FLOOR SUSURAN ANJUNG TAWAS ANJUNG TAWAS SINARAN 30010 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78064&sid=8A31950631B0CC490E7C572B6D41AB3E,'2017-08-04,
bmaatrading@gmail.com,012 - 2115148,BMAA TRADING,"84, JALAN PUTRA   50350 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57139&sid=6C8E42D0CE1B2A9B6C2FFEB4D5FADAF9,'2017-08-04,
sales@fwkindustry.com,04 - 4215032,FWK INDUSTRY SDN BHD,"38 & 39, LRG SG TUKANG 1/4 KWS PERUSAHAAN SG TUKANG SG PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41640&sid=D8416A826A46EE1CD67145A19704091D,'2017-08-04,
michael.ng@klkrp.com.my,05 - 3121888,MASIF LATEX PRODUCTS SDN BHD,"LADANG PINJI, BAHAGIAN SENGAT KG KEPAYANG IPOH 31300 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33244&sid=4F7BF70AD8AE81A4F2F8551D76BBFFBB,'2017-08-04,
thineshtraders@gmail.com,014 - 3313509,THINESH TRADERS,"36, S 14/4 SUBANG JAYA  47500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59974&sid=E9AA5DB7066669302A24C20E4A3A5F35,'2017-08-04,
anusha_m_au@yahoo.com.au,03 - 78469008,WORLDWIDE CONSULTANCY SERVICES,"43, JALAN KUBAH U8/62 BUKIT JELUTONG  40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60425&sid=F18A018E0040BB8FF0331DF9331349D5,'2017-08-04,
sales@hks-systems.com,012 - 4751070,HKS SYSTEMS,"1, LRG 7 CHOR SIN KHENG RD AIR ITAM 11500 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60796&sid=5AFEE335A314D4CE6B7EE00BA733F93E,'2017-08-04,
info@maxsilin.com,03 - 33440011,MAXSILIN PRODUCTS SDN BHD,"4-2-1, JALAN SETIA PRIMA (L) U13/L SETIA ALAM SECTION U13 SHAH ALAM 40170 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63938&sid=C171A33208CA1801FA4B65213C6D6D8D,'2017-08-04,
sales@nuponcorp.com,04 - 6452833,NUPON TECHNOLOGY SDN BHD,"56, GROUND & 1ST FLOOR LEBUH BKT KECIL SATU TAMAN SRI NIBONG, BAYAN LEPAS 11900 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5112&sid=57C9C2496D25CAD12AE9C2419C8E65E1,'2017-08-04,
sasworld2010@gmail.com,016 - 2285361,SAS WORLDWIDE SDN BHD,"10, JALAN TABOH 33/22 SEKSYEN 33 SHAH ALAM 40400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65066&sid=7F81C253B952FFFB2A9406FCAECC8064,'2017-08-04,
