FAILMSG,HREF,EMAIL,CONAME,DATE_SCRAPED,BIZADD,TEL
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93160&sid=2FD6F00EDB19E1733F3CC437E16D2CD5,exactpack_epm@yahoo.com,EXACT PACK MACHINERY SDN BHD,'2017-08-02,"NO.12, JALAN SUTERA 1/5A, KAWASAN PERINDUSTRIAN BUKIT ANGKAT KAJANG 43000 SELANGOR",03 - 82105350
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14251&sid=A896AB3044B7B5CFD3F7C25CFBB31F0F,yewlee88@streamyx.com,YEW LEE PACIFIC MANUFACTURER SDN BHD,'2017-08-02,"18, JALAN JOHAN 2/1 KAW PERINDUSTRIAN PENGKALAN 11 PUSING 31550 PERAK",05 - 3668608
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104634&sid=20FB450C9BCCCE673D946C9B62FF3205,rachel.ling@giantkingdom.com,GK WORLDWIDE TRADING SDN BHD,'2017-08-02,LEVEL 1 SUBLOT 2 TITANIUM TOWER JALAN SONG KUCHING 93350 SARAWAK,082 - 285822
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43654&sid=3AA53756CBE11736FA865A3D9C44F029,sales@eloduniamfg.com.my,ELO DUNIA MANUFACTURING (M) SDN. BHD,'2017-08-02,NO.10 JALAN TPP 1/6 TAMAN INDUSTRI PUCHONG PUCHONG 47160 SELANGOR,03 - 80602503
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76253&sid=D667EA324839D93A19F98F42DE6C201F,enquiry@mackenzieind.com,MACKENZIE INDUSTRIES SDN BHD,'2017-08-02,"LOT 1930, BATU 7, JALAN BUKIT KEMUNING SECTION 32 SHAH ALAM 40460 SELANGOR",03 - 51230018
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69230&sid=C4D530C3542454C360C57ADD43DF418F,cskungsc@gmail.com,C.S. AGRI PARTS SDN BHD,'2017-08-02,LT 1-16 (PT 1451) JALAN TTC 3 TAMAN TEKNOLOGI CHENG 75250 MELAKA,06 - 3356668
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99269&sid=31B17299996FEF776606890095F7872A,admin@evershine.com.my,MY HOME INDUSTRIES SDN BHD,'2017-08-02,NO 2 JALAN P4/6 SEKSYEN 4 BANDAR TEKNOLOGI KAJANG SEMENYIH 43500 SELANGOR,03 - 87233792
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90203&sid=03229270073533189E1583648DE6C123,neilsonrogers@gmail.com,SIRI TULIN MKT SDN BHD,'2017-08-02,NO 42 LORONG SANGGUL 1E BANDAR PUTERI KLANG 41200 SELANGOR,03 - 51625745
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11792&sid=447416A285E13868C38C018DACFB29EF,aylee@foongchi.com,FOONG CHI MOULD INDUSTRIES SDN BHD,'2017-08-02,"PLOT 142, LORONG PERINDUSTRIAN BKT MINYAK 11 BKT MINYAK INDUSTRIAL PARK, BKT MINYAK BKT MERTAJAM 14000 PULAU PINANG",04 - 5081170
,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71582&sid=C2B5E59AD2EF141204AEA7342448602C,chloe@samemax.com.my,SAMEMAX REFRIGERATION SDN BHD,'2017-08-02,10 DOLOMITE PARK AVENUE JALAN BATU CAVES BATU CAVES 68100 SELANGOR,03 - 61811133
