BIZADD,EMAIL,DATE_SCRAPED,CONAME,FAILMSG,TEL,HREF
"23A, JALAN JASA 19, MEDAN PEJASA OFF JALAN KLANG LAMA PETALING JAYA 46000 SELANGOR",alsignol@gmail.com,'2017-08-02,ALSIGNOL SDN BHD,,03 - 77813133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9437&sid=36D4609F37DD0061C9AD05E793180D1A
"8, JALAN SUNGAI CHADONG 8 OFF 5TH MILE, JALAN KAPAR KLANG 42100 SELANGOR",paultsai0320@gmail.com,'2017-08-02,BIF ENTERPRISE (M) SDN BHD,,03 - 32914567,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11691&sid=8EBC2831E550D4F60D4FD718848EFD0E
"LOT 1558, KG JAYA INDUSTRY AREA OFF JALAN HOSPITAL SG. BULOH 47000 SELANGOR",info@ksg.com.my,'2017-08-02,KIEN SAFETY GLASS SDN BHD,,03 - 61577426,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7081&sid=106C5E595E684F27CF87BB587FFD6A34
"LOT 15747, NKS INDUSTRIAL AREA JALAN PELABUHAN UTARA PELABUHAN KLANG 42000 SELANGOR",rosli@destinishipbuilding.com,'2017-08-02,DESTINATION MARINE SERVICES SDN BHD,,03 - 31655080,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37618&sid=ABC11439C7C7CB1620A43892B8162A0E
11 JALAN TIGA OFF JALAN CHAN SOW LIN  52000 KUALA LUMPUR,kwy@wangyuen.com,'2017-08-02,KEJURUTERAAN WANG YUEN SDN BHD,,03 - 92210331,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4056&sid=CD11565525BF2DEB5E21EB4913800EC0
"KM 21, JALAN TUARAN MENGGATAL KOTA KINABALU 88450 SABAH",sabahtingyang@yahoo.com.hk,'2017-08-02,TING YANG ENTERPRISE SDN BHD (FORMELY KNOWN AS SINAR POTERI INDUSTRIES SDN BHD),,088 - 491080,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14034&sid=A0CE6A50F213F572324AFDD6576C3827
"13A, 3RD FLOOR, PANDAN INDAH INDUSTRIAL PARK  55100 KUALA LUMPUR",zfhindustries@gmail.com,'2017-08-02,ZFH INDUSTRIES SDN BHD,,03 - 42977233,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63570&sid=DCB37B7F55410A46CC9BB3B9CB40865A
"LEVEL 10, MENARA UAC 12 JALAN PJU 7/5 MUTIARA DAMANSARA 47800 SELANGOR",sales@uac.com.my,'2017-08-02,UAC BHD,,03 - 77219393,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9079&sid=5B316A72572C38358390622294C8580C
"SUITE 123, PO5A EMPIRE SHOPPING GALLERY JALAN SS16/1, SUBANG JAYA 47500 SELANGOR",mj@recaa.com,'2017-08-02,RECAA INSULATION SYSTEMS SDN BHD,,03 - 48207159,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85240&sid=4798F787F749AA7DF930DB75D1B772BC
"41, JALAN TEMBAGA SD 5/2G BANDAR SRI DAMANSARA  52200 KUALA LUMPUR",sales@hoctrade.com.my,'2017-08-02,HOCTRADE SDN BHD,,03 - 62733231,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61820&sid=D5C5975578056CE61A42DE486BD38996
