HREF,TEL,FAILMSG,CONAME,EMAIL,DATE_SCRAPED,BIZADD
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9999&sid=59E03743FF90F3782F602333179D68B2,07 - 5978100,,MEDICAL- LATEX (DUA) SDN BHD,Medical-Latex@medicallatex.com,'2017-08-02,PLO 8 SENAI INDUSTRIAL ESTATE SENAI 81400 JOHOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88019&sid=2D5E6B0DD41271AD90141E9C84BA726A,04 - 6575453,,BIOANALYTICAL QUEST SDN BHD,bioanalyticalquest@gmail.com,'2017-08-02,SUITE 108 KOMPLEKS EUREKA UNIVERSITI SAINS MALAYSIA 11800 PULAU PINANG
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88022&sid=D82E6DDF2DFD3BBCEAD918E72F98B567,04 - 5040303,,3D INSTRUMENTATION SDN BHD,khgooi@3disb.com,'2017-08-02,"95, LORONG IKS JURU 5 TAMAN PERINDUSTRIAN RINGAN JURU BUKIT MERTAJAM 14000 PULAU PINANG"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85647&sid=76ED4570A9F2E7B66E834411E0CE628F,03 - 92008828,,360HORIZONZ SDN BHD,sales@360horizonz.com,'2017-08-02,54 JALAN 8/91 SHAMELIN 56100 KUALA LUMPUR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14182&sid=E1F1617680945CB6D426A81DA000672D,03 - 89261351,,OSA TECHNOLOGY SDN BHD,osa.khairrazi@yahoo.com,'2017-08-02,"BLOCK C UKM-MTDC HMART TECKNOLOGI CENTER II UNIVERSITI KEBANGSAAN MALAYSIA, BANGI 43600 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86039&sid=CCF6EF485D2B19A05517D7E6143F6FAA,05 - 5267952,,SYG MEDICAL COMPOUND SDN. BHD.,mailadmin@medicalcompound.com,'2017-08-02,"16, JALAN KILANG 1, JELAPANG LIGHT INDUSTRIAL ESTATE,  30100 PERAK"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100053&sid=97F2AC75468A9425097BC40971D4A46F,03 - 80228419,,SKIP TECHNOLOGIES PLT,nano@skiptechnologies.com,'2017-08-02,LEVEL 8 MCT TOWER SKY PARK ONE CITY JALAN USJ 25/1 47650 SELANGOR
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84899&sid=8F920B14305BE9898C58DA57CA7D4144,03 - 80207020,,SILVERFILDENTAL PRODUCTS SDN BHD,dr.radha@silverfildental.com,'2017-08-02,"5, JALAN INDUSTRI 1/11 TAMAN PERINDUSTRIAN USJ 1 SUBANG JAYA 47600 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78042&sid=A7CBD1AD9405E0C9B3A6F8F9A56C577E,03 - 78044770,,LABQUIP (M) SDN BHD,siew_eng@labquipasia.com,'2017-08-02,"LABQUIP (M) SDN BHD 17, JALAN PJU 3/46 SUNWAY DAMANSARA 47810 SELANGOR"
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74516&sid=BE21ECF902BEADB1A2739C34176B5B12,03 - 78736405,,ASIA-PACIFIC SPECIAL NUTRIENTS SDN. BHD.,kokho.tan@rhonema.com,'2017-08-02,LOT 18B JALAN 241 SECTION 51A PETALING JAYA 46100 SELANGOR
