HREF,DATE_SCRAPED,EMAIL,BIZADD,CONAME,TEL,FAILMSG
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104990&sid=796F676C145167BB7C8FDB82381B7BAB,'2017-08-02,jasonk@appsmiths.com,B1-3A-3 SOHO SUITES @ KLCC NO 20 JALAN PERAK  50450 KUALA LUMPUR,APPSMITHS SDN BHD,019 - 2617000,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90713&sid=8FC73EDE9BE8C2A3B74BE574B5C4C25D,'2017-08-02,nazim@versacorp.com.my,"UNIT NO. 23A-02, UOA BANGSAR NO 5, JALAN BANGSAR UTAMA BANGSAR UTAMA 59000 KUALA LUMPUR",VERSACORP ENGINEERING SDN BHD,03 - 22820346,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104804&sid=1E86A30B37B6A7131D3E1548C5158F50,'2017-08-02,nurul.tuhid@satakemalaysia.com,NO 56 JALAN ANGGERIK VANILLA Z 31/Z KOTA KEMUNING SHAH ALAM 40460 SELANGOR,SATAKE TECHNOLOGIES SDN BHD,03 - 55253171,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105669&sid=9694CF3B20BEDA13EAAA58EDD3042004,'2017-08-02,inquiry@zelican.com.my,NO 3 JALAN PTP 1/3 TAMAN PERINDUSTRIAN TASIK PERDANA PUCHONG 47120 SELANGOR,ZELICAN SDN BHD,03 - 80669098,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96610&sid=57AD327FBC9101E9FAEAB0B214DD5E63,'2017-08-02,info@lipp.com.my,NO 7 JALAN ASTAKA U8/88A SEKSYEN U8 TAMAN PERINDUSTRIAN BUKIT JELUTONG 40150 SELANGOR,NIKO BIOENERGY SDN BHD,03 - 78325865,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106034&sid=C590C8089E75A52849F5A7F4F9EFFD96,'2017-08-02,wailin@ampmech.com,46 JALAN SS22/21 DAMANSARA JAYA PETALING JAYA 47400 SELANGOR,NATIONWIDE OIL & GAS SDN BHD,03 - 78051106,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106033&sid=8FE6EE0D7AB215F7196A46111D28ACAF,'2017-08-02,wailin@ampmech.com,46 JALAN SS22/21 DAMANSARA JAYA PETALING JAYA 47400 SELANGOR,AMPMECH INDUSTRIES SDN BHD,03 - 78051106,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73704&sid=152796010F6683ED8E42B9609447988C,'2017-08-02,byfoo@jcssb.com,16 JLN MJ 15 TAMAN INDUTRI MERANTI JAYA PUCHONG 47120 SELANGOR,JATI COMBUSTION SYSTEM SDN BHD,03 - 80689188,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96372&sid=9FD263CFF13A3A2657A259CF7462FF46,'2017-08-02,arksglobalsb@gmail.com,K-13707 1ST FLOOR TAMAN CHUKAI UTAMA KEMAMAN 24000 TERENGGANU,ARKS GLOBAL SDN BHD,09 - 8591552,
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101110&sid=AC549DCC057EB13EC28525FAB7B68DBE,'2017-08-02,romstar@romstargroup.com,NO 8 JALAN 5/91A TAMAN SHAMELIN PERKASA  56100 KUALA LUMPUR,ROMSTAR POLYMER SDN BHD,03 - 92823434,
