FAILMSG,BIZADD,HREF,CONAME,DATE_SCRAPED,EMAIL,TEL
,"42 JALAN BETERI 34/5, SECTION 34 BKT KEMUNING PARK SHAH ALAM SELANGOR 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13632&sid=59F136DBB8084432DC61547AA768F0B6,INNOVATIVE SHIELD SDN BHD,'2017-08-02,francis@innovativeshieldsb.com,03 - 58806890
,NO 3 JALAN ANGKASA MAS SATU KAWASAN PERINDUSTRIAN TEBRAU II JOHOR BAHRU 81100 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101078&sid=05918DBBF3F7490C91D50077ABBF3347,JEBSEN & JESSEN PACKAGING SDN. BHD.,'2017-08-02,wanyau_tai@jjsea.com,07 - 3548910
,NO 24 JALAN KPK 4/3 KAWASAN PERINDUSTRIAN KUNDANG JAYA 48020 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95052&sid=78F13E379F25D009E1E7AC47A429BA93,CAN JAYA PRODUCTS PACKAGING SDN BHD,'2017-08-02,sm0.canjaya@gmail.com,03 - 60345579
,"5, 7 & 9, JALAN INTAN 1 PHASE NU3A1 NILAI UTAMA ENTERPRISE PARK, NILAI 71800 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9049&sid=C3C519F12EB7DC4256E6E5247490B4BB,MULTIPLEX PACKAGING SDN BHD,'2017-08-02,info@multiplexpackaging.cc,06 - 7949202
,"LOT 215, MUKIM SEMELING SUNGAI TOK PAWANG, 1ST MILE BEDONG 08100 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11435&sid=0C6D24C42550AEBB890A7FCAAA7AE373,FRAGSTAR CORPORATION SDN BHD,'2017-08-02,enquiry@fragstar.com,04 - 4588299
,"2, JALAN IKS SIMPANG AMPAT TAMAN IKS SIMPANG AMPAT 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9447&sid=89E531E239432D33D7679C654E3B407B,KSK GLOBALINK MANUFACTURING SDN BHD,'2017-08-02,vivianlee@kskglobal.com,04 - 5889811
,NO23 JALAN SIBU 17 TAMAN WAHYU BATU 6 JALAN IPOH 68100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4529&sid=DC3BFF7F8C04EB73E71B60BD969D68A2,RON-SENG PAPER PRODUCTS SDN BHD,'2017-08-02,rspp@ron-seng.com.my,03 - 62510100
,87 JALAN TPP 1/12 BATU 12 TAMAN INDUSTRI PUCHONG 47100 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98401&sid=C9E35300C403F2AB3C043A4C74BBAB68,SHELTON TRADING COMPANY,'2017-08-02,sheltonpuchong@hotmail.com,03 - 58911701
,"NO. 2A, JALAN TIAJ 2/1 TAMAN INDUSTRI ALAM JAYA BANDAR PUNCAK ALAM 42300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80303&sid=0B14BD79A0C32A23BBB947CEFB84DB38,TNC PLASTIC SDN BHD,'2017-08-02,jack@tncplastic.com.my,03 - 60388039
,"LOT 5035, JALAN TERATAI 5 1/2 TH MILES, OFF JALAN MERU KLANG 41050 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52674&sid=38E590480174245DB61BA659B49265FB,JAW INDUSTRIES SDN BHD,'2017-08-02,sales@jawind.com.my,03 - 33928808
