HREF,TEL,CONAME,DATE_SCRAPED,BIZADD,FAILMSG,EMAIL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57345&sid=5B7AE710006589AFB1E9C1677B797BA4,03 - 78877575,TEMASEK GROWTH,'2017-08-02,"J-03A-2, JALAN SS6/18, DATARAN GLOMAC, KELANA JAYA PETALING JAYA 47301 SELANGOR",,sam@temasekgrowth.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99482&sid=B39797707751320791FBEDCB323C7B28,010 - 7130755,CELESTIAL VENTURES SDN BHD,'2017-08-02,MLO 2321 KAMPUNG RAHMAT BATU 27 KULAI 81030 JOHOR,,chay.zs@jbcvo.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5496&sid=A386B436F7D0F7602C5C3FD9E3565D69,089 - 675773,SYARIKAT HOI WAN (SABAH) SDN BHD,'2017-08-02,"P.O.BOX 2872, SANDAKAN,  90732 SABAH",,sythoiwan@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98374&sid=00CA6AB585321FD0487084FEB51CC409,017 - 6822094,PETROVECTOR MALAYSIA SDN BHD,'2017-08-02,10TH FLOOR MENARA HAP SENG NO 1&3 JALAN P RAMLEE 50250 KUALA LUMPUR,,ruslan@petrovectorgroup.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11837&sid=2876BD20540D5D7F9B1974B9B111AE7B,03 - 78049177,KITRA INDUSTRIES (M) SDN BHD,'2017-08-02,"55B, JALAN SS 6/12 KELANA JAYA PETALING JAYA 47301 SELANGOR",,info@kitraindustries.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43086&sid=5D14A78C04AB5CC316A7A3A0737DE725,08 - 2432317,EAST ASIA PALM PRODUCTS SDN BHD,'2017-08-02,"1063 ASSAR SENARI INDUSTRIAL COMPLEX, JALAN BAKO  93050 SARAWAK",,andrew_nguang@eagroup.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88150&sid=6B9E664BB195AD04682D3CB2BB61B9A1,07 - 3818803,IOI LODERS CROKLAAN OILS SDN BHD,'2017-08-02,PLO 8 & 9 JALAN TIMAH PASIR GUDANG INDUSTRIAL ESTATE PASIR GUDANG 81700 JOHOR,,huayyin.ooi@ioiloders.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101187&sid=21F665A7894791767E4A5B1306F54A55,03 - 77727110,AMBANG ASLI SDN BHD,'2017-08-02,3 & 5 JALAN 10/152 TAMAN PERINDUSTRIAN OUG  58200 KUALA LUMPUR,,cheoklup@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8221&sid=F2AB068FE37CCAAB6F7866C8C668780B,03 - 58821720,EASY PHA-MAX MARKETING SDN BHD,'2017-08-02,"NO. 1, JALAN INDUSTRI PBP 11, TAMAN PERINDUSTRIAN PUSAT BANDAR PUCHONG PUCHONG 47100 SELANGOR",,ben@tof.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76950&sid=3C0B24F7A867C17FA4F8FBE7C30C5FEE,04 - 3838737,EXCEL BIOTECH SDN BHD,'2017-08-02,"19, LORONG SERI AROWANA 4 TAMAN SERI AROWANA, SEBERANG JAYA PERAI 13700 PULAU PINANG",,edwin@excelbiotech.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86098&sid=3F1166572C6B305259DAC14AF6B21B66,019 - 2776244,PURITY PETROIL RESOURCES SDN BHD,'2017-08-02,A-5-10 EMPIRE TOWER JALAN SS 16/1 SUBANG JAYA 47500 SELANGOR,,zaidi.ppr@gmail.com
