DATE_SCRAPED,FAILMSG,TEL,HREF,EMAIL,CONAME,BIZADD
'2017-08-04,,03 - 32927494,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96977&sid=EAF47F22CD8EF73E686F1BD596CDAD31,dvarishplt@gmail.com,DVARISH PLT,20 JALAN RODAT 2/KU5 BANDAR BUKIT RAJA  41050 SELANGOR
'2017-08-04,,03 - 78427377,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73172&sid=2802E7DDADD54A2E696CB922F4D194CA,sharon.teh@claris.com.my,CLARIS CHEMICALS SDN BHD,"LOT D12-1-1, BLOCK D12 DANA 1 COMMERCIAL CENTRE JALAN PJU 1A/46 47301 SELANGOR"
'2017-08-04,,06 - 7999579,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88113&sid=E8581E39CACF57758EE8FFD84AF9EF57,jejemfg@gmail.com,JEJE MANUFACTURING (M) SDN BHD,"LOT 3290, PEKAN PAJAM MUKIM SETUL MANTIN 71700 NEGERI SEMBILAN"
'2017-08-04,,03 - 55694000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34553&sid=8D0C99E07936F423FFCE3E40EB17F4FF,shan@cni-global.com,CNI CORPORATION SDN BHD,"2, JALAN U1/17, WISMA CNI, SECTION U1 HICOM-GLENMARIE INDUSTRIAL PARK SHAH ALAM 40000 SELANGOR"
'2017-08-04,,019 - 3684465,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102485&sid=C6033B3FF79A7A24731AC6004BCB68B3,sitiroziahadam@gmail.com,ERAT EMPAYAR SDN BHD,NO 3 - 2 JALAN 9/9C SEKSYEN 9 BANDAR BARU BANGI 43650 SELANGOR
'2017-08-04,,03 - 33926529,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4189&sid=8E6C523A89F5A75E25A8D5DDD527DC97,estheryee@bodibasixs.com,BODIBASIXS MANUFACTURING SDN BHD,"LOT 5011, JLN TERATAI, BATU 5 1/2, OFF JALAN MERU  41050 SELANGOR"
'2017-08-04,,03 - 61502228,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88492&sid=AC83744093E7F7220D01AAC46EE95CDC,kymadm01@gmail.com,AKEMI BEAUTY SDN BHD,"2A, JALAN DATARAN VILLA PUTRA 2 DATARAN VILLA PUTRA SUNGAI BULOH 47000 SELANGOR"
'2017-08-04,,03 - 91715329,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92311&sid=908A0A042087D1F417CA706A7F9EA9A1,shahnas@mynaturalwellness.com,NATURAL WELLNESS PHARMACEUTICALS (M) SDN. BHD.,"78, JALAN KILANG MIDAH TAMAN MIDAH CHERAS 56000 KUALA LUMPUR"
'2017-08-04,,012 - 3858110,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106035&sid=F24AB2E612342B6458EB7D9924C77896,tehhooihong@yahoo.com,BIOFIZZ MARKETING SDN BHD,SUITE 5.05 5TH FLOOR WISMA BICMA 2 JALAN 243/51A PETALING JAYA 46100 SELANGOR
'2017-08-04,,012 - 6451814,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105672&sid=A04278FB476AF21FA19F12097D05A113,ostmoo@gmail.com,KKK ONE SDN BHD,10-2B JALAN PUTERI 2/3 BANDAR PUTERI PUCHONG 47100 SELANGOR
