HREF,DATE_SCRAPED,EMAIL,CONAME,BIZADD,FAILMSG,TEL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3602&sid=8AD4FED588BA3F0B9C609F24D8B7771F,'2017-08-02,exact@expressaudio.com,EXPRESS AUDIO INDUSTRY SDN BHD,"45, JALAN JEJAKA DUA TAMAN MALURI CHERAS 55100 KUALA LUMPUR",,03 - 92851471
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98781&sid=48A2F4C34C87A6A2FC10B68892DE884D,'2017-08-02,federalmalay@gmail.com,KUT RESOURCES SDN BHD,WISMA FEDERAL MALAY HOLDINGS NO 10 PERSIARAN 65C PEKELILING BUSINESS CENTRE JALAN PAHANG BARAT 53000 KUALA LUMPUR,,03 - 40221010
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97300&sid=376EF0806482360AEA7B6C62A9444807,'2017-08-02,stjaya80@yahoo.com,PRO ERA SDN. BHD.,12 1ST FLOOR BANGUNAN KEDAI LEBUH INTAN TAMAN INTAN SUNGAI PETANI 08000 KEDAH,,016 - 4528888
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95863&sid=F25011406EA3D1B5559605C63BB37362,'2017-08-02,mai@pspoly.com.my,PS POLY PACK SDN BHD,"LOT 2208 JALAN KHAMIS MERU, KLANG  41050 SELANGOR",,03 - 33927500
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12178&sid=644C18D2B2027ED6A3814F3E2F52813C,'2017-08-02,info@asiapoly.com.my,ASIA POLY INDUSTRIAL SDN BHD,"LOT 758, JALAN HAJI SIRAT MUKIM KAPAR KLANG 42100 SELANGOR",,603 - 33422567
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37751&sid=03CBE5FDF91E8E351057827A2A770F42,'2017-08-02,janicelim@avantis-international.com,AVANTIS TECHNOLOGIES SDN BHD,"6478, JALAN AYAM DIDIK 2/2 KAW PERINDUSTRIAN RINGAN TMN RIA JAYA SG PETANI 08000 KEDAH",,04 - 4482188
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85753&sid=1A49806EEE0BDF3226B967333DABC258,'2017-08-02,alex@my-yomita.com,YOMITA SDN BHD,"LOT 13, SOLOK RAJA LUMU KAW M.I.E.L. PANDAMARAN PORT KLANG 42000 SELANGOR",,03 - 31668868
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3678&sid=331FF26CE317645D1263E89F18F32320,'2017-08-02,cf@crystalfleet.com,CRYSTAL FLEET SDN BHD,"316 & 317, LORONG INDUSTRI 3 KAW INDUSTRI TAMAN KENANGAN, SG KARANGAN PADANG SERAI 09410 KEDAH",,04 - 4858305
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81502&sid=FB919DD6CA15BBEF5A05886756CFF8CA,'2017-08-02,eossgrand@hotmail.com,EOSS GRAND INDUSTRIES (M) SDN BHD,"10, JLN SRI PLENTONG 10 TMN PERINDUSTRIAN SRI PLENTONG MASAI, JOHOR 81750 JOHOR",,07 - 3862799
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54766&sid=0DFF4AFB3D86D016F87CEBE26A3B31DF,'2017-08-02,marketing@craftrender.com,CRAFT RENDER SDN BHD,"2, JLN SB JAYA 10 TAMAN INDUSTRI SG. BULOH JAYA  47000 SELANGOR",,03 - 61422020
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77027&sid=F62BDCBDBD20193793852D9031324226,'2017-08-02,assessproducts@gmail.com,ASSESS PRODUCTS (M) SDN BHD,LOT 1-44&1-45 JLN TTC 4 CHENG INDUSTRIAL ESTATE CHENG 75250 MELAKA,,06 - 3361927
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13503&sid=A96E0E730D107DCCD37F162200077D0F,'2017-08-02,goo_poh_ting@ap.aschulman.com,ICO POLYMERS (M) SDN BHD,"2, JALAN WAWASAN UTAMA KAW PERINDUSTRIAN SRI GADING BATU PAHAT 83300 JOHOR",,07 - 4556777
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6551&sid=BF4042B4704D43E3341EA3A8934735B1,'2017-08-02,tokyolow@tm.net.my,TOKYO MOULD INDUSTRIES SDN BHD,"27, LORONG IKS JURU 7 TAMAN PERINDUSTRIAN RINGAN JURU SIMPANG AMPAT 14100 PULAU PINANG",,04 - 5070526
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7051&sid=CDDA7DDA8E4E7BEB12D14239724FCBBC,'2017-08-02,info@vpplastics.com.my,V.P. PLASTICS SDN BHD,NO.1029 LORONG PERUSAHAAN DUA PRAI INDUSTRIAL COMPLEX ESTATE  13600 PULAU PINANG,,04 - 3999986
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77454&sid=7DFD8B710D5455AA7A73905D912F76A8,'2017-08-02,dennis.cheong@texchem-polymers.com,TEXCHEM PLOYMERS SDN BHD,"1465 MUKIM 11, LRG PERUSAHAAN MAJU 6 PERAI INDUSTRIAL ESTATE PHASE 4 PERAI 13600 PULAU PINANG",,04 - 5079753
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9998&sid=673C996CD0622618AAC498CD7A89867D,'2017-08-02,kelvin@panagawa.com,PANAGAWA SDN BHD,PLO 527 JLN KELULI 5 PASIR GUDANG 81700 JOHOR,,07 - 2516228
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11237&sid=C800FBBCBE83ECBA9FA3DEBE95991484,'2017-08-02,leanlee1945@gmail.com,LEAN LEE TRADING COMPANY SDN BHD,"891, JLN KG JURU JURU BKT MERTAJAM 14000 PULAU PINANG",,04 - 5021888
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9498&sid=2ED64505BD8FD0079E02FE67D39329E2,'2017-08-02,sales@yogo.com.my,GUANG HENG PLASTIC INDUSTRIES SDN BHD,"111, JALAN SAWIT BARU 8 TAMAN PERINDUSTRIAN SAWIT BARU KULAI 81030 JOHOR",,07 - 6525413
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14334&sid=18661F77C6ED05EB41C1FFF6C8BF3B1F,'2017-08-02,info@thp.com.my,TONG HIN POLYSTYRENE INDUSTRIES SDN BHD,"9,11,12&15 JALAN WIRA 7 TAMAN TAN SRI YACOB INDUSTRIAL PARK SKUDAI 81300 JOHOR",,607 - 5111818
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8381&sid=6470C6609637D3BEFED1A52ADC52768B,'2017-08-02,smicmsb@gmail.com,SMIC (M) SDN BHD,"NO 7799-C, KWS. PERINDUSTRIAN MERLIMAU MERLIMAU  77300 MELAKA",,06 - 2631443
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13639&sid=6095449D2AFA639DEBD6091A04732A1F,'2017-08-02,handel@greenstreak.com.my,GREENSTREAK (M) SDN BHD,"NO 35 & 37, JALAN BP 5/8, BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR",,03 - 80608062
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37616&sid=B83D7884EE3DE34F9C4C693B7F389DB7,'2017-08-02,sales@boldvision.com.my,BOLD VISION EXPORT SDN BHD,"44, JLN ANGGERIK MOKARA 31/47 KOTA KEMUNING, SECTION 31 SHAH ALAM 40460 SELANGOR",,03 - 51210908
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15947&sid=43E8D72C369D6012DE7B18D600D676B1,'2017-08-02,mas_floor@yahoo.com,MASFLOOR SDN BHD,"LOT 2580, MUKIM OF CHUPING, 02450, BUKIT KETERI, PERLIS  02450 PERLIS",,04 - 9383393
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5506&sid=97E9FBAD629D841C8380EE54BDA92330,'2017-08-02,polyflowpipes@hotmail.com,POLYFLOW PIPES SDN BHD,"LOT 626, BLOK 4 MUARA TEBAS LAND DISTRICT JALAN BAKO, PETRA JAYA 93050 SARAWAK",,082 - 432217
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15048&sid=1E7978FE29D252BED15B9A04E483C5D4,'2017-08-02,dave@dawn-asia.com,DAWN MATERIAL SDN BHD,"3A, LOT 765, JALAN SUBANG 4   47610 SELANGOR",,03 - 56316588
