FAILMSG,BIZADD,DATE_SCRAPED,TEL,HREF,EMAIL,CONAME
,"29, JALAN MUTIARA EMAS 4/19 MOUNT AUSTIN INDUSTRIAL PARK JOHOR BAHRU 81100 JOHOR",'2017-08-02,07 - 3536155,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12660&sid=DAEA7070B08CC283E444A1EBE5E2E6E1,as001@ablespeed.com,ABLE-SPEED SDN BHD
,ALLOYMTD GROUP 1 JLN BATU CAVES BATU CAVES 68100 SELANGOR,'2017-08-02,03 - 61951348,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81672&sid=CEA1A49006DFA7BB131F4FD5617FC95F,sales.acpdmt@alloymtd.com,ACP-DMT SDN BHD
,"A694, JALAN KIANSOM KAMPUNG KIAMBALANG  88450 SABAH",'2017-08-02,014 - 6992247,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94493&sid=D65426E85465ABEB881E78A37574068C,codi.hoyu@gmail.com,HOYU TAYAR SDN BHD
,NO 6 JALAN TPP 1/17 TAMAN INDUSTRI PUCHONG 47100 SELANGOR,'2017-08-02,012 - 3778128,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95207&sid=B9DF52B3657B999C76CF05E03F10B835,sales@hawesco.com.my,HAWESCO INDUSTRIES
,SUITE 20B LEVEL 20 SUNWAY TOWER 86 JALAN AMPANG 50450 KUALA LUMPUR,'2017-08-02,03 - 28581368,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91671&sid=4025A1AE2B1602A003785753DDE17FC7,enquiries@r1international.com,R1 INTERNATIONAL MALAYSIA SDN. BHD.
,"LOT 7109, BATU 5 1/4 JALAN KAPAR KLANG 42100 SELANGOR",'2017-08-02,03 - 32917000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65988&sid=07EEA6808EB6F0809258D2AE7CC0E878,maxrub@streamyx.com,MAXRUBBER INDUSTRIES SDN BHD
,"15A, BANGUNAN SULTAN JALAN BANGSAR  59200 KUALA LUMPUR",'2017-08-02,03 - 22822402,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33362&sid=40BF2F3B9C20C93B592D9083BB7CE7E9,hardeenjc1@yahoo.com,JC SYNERGY TRADING
,"8 PERSIARAN PERINDUSTRIAN PENGKALAN 3 IPOH,LAHAT, LAHAT, PERAK 31500 PERAK",'2017-08-02,012 - 5297707,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86084&sid=3A132FE3B3BEBA20C9AA91733357E890,stargroup1954@hotmail.com,SOUTH STAR ENTERPRISE
,"36, JLN P10/21, SECTION 10 TMN INDUSTRI SELAMAN BANDAR BARU BANGI 43650 SELANGOR",'2017-08-02,03 - 89222988,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2447&sid=322A143241D545C55175F50499753117,klss@khailien.com.my,KHAI LIEN SILK SCREEN SUPPLIERS (M) SDN BHD
,46-48 LORONG SENAWANG 2/2 KAW PERUSAHAAN SENAWANG 70450 NEGERI SEMBILAN,'2017-08-02,06 - 6792828,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84153&sid=EA8F4E755076264324D7AE69C8B4DC85,acten@actengroup.com.my,ACTEN TIRE TECHNOLOGY SDN BHD
