FAILMSG,DATE_SCRAPED,TEL,CONAME,BIZADD,HREF,EMAIL
,'2017-08-02,088 - 704597,SALEH TRUCK & TRAILER MANUFACTURER SDN BHD,"LOT 3A, INDUSTRIAL ZONE 8A, LORONG KKIP TIMUR 2A KOTA KINABALU INDUSTRIAL PARK KOTA KINABALU 88460 SABAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71460&sid=0578830629787D92DC7EE76F5870334B,salehtrk02@yahoo.com
,'2017-08-02,03 - 41628488,IFCON TECHNOLOGY SDN BHD,9-2B UKAY BOULEVARD JALAN LINGKARAN TENGAH 2 HULU KELANG 68000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96825&sid=FF9C45EC5AE06482E9145827725A906E,nikizwan@ifcontech.com
,'2017-08-02,09 - 5661980,ELS ENGINEERING SDN BHD,"7, JALAN INDUSTRI SEMAMBU 2 KAW PERINDUSTRIAN SEMAMBU KUANTAN 25350 PAHANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3074&sid=D3990C4A6DA1553876EDB185A8249C48,elsengsb@gmail.com
,'2017-08-02,01 - 02352020,ECO SURFACE DRIVES,SUITE A-B TINGKAT 1 NO 196 JALAN 8/3 SECTION 8 BANDAR BARU BANGI 43650 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100909&sid=BBBE89A298E8709F0B763ECFACA2B370,yk.kristina@gmail.com
,'2017-08-02,05 - 5262236,SIN HOCK LEONG COACH WORKS SDN BHD,"4, JALAN KILANG 3 JELAPANG INDUSTRIAL ESTATE IPOH 30100 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9055&sid=4BAA81D11272972023BD128AEB05F1A3,shlcoach@gmail.com
,'2017-08-02,089 - 616263,BONAFILE SHIPBUILDERS & REPAIRS SDN BHD,"BLOCK G, LOT 3B BANDAR LEILA W.D.T. 259 SANDAKAN 90009 SABAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5235&sid=ADE73932B08A0187E55EBC98AF419E6F,ncheng@coastalecontracts.com
,'2017-08-02,012 - 4665789,WHIZ TRADING & SERVICES SDN BHD,4771 TINGKAT 1 JALAN BAGAN LUAR BUTTERWORTH 12000 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98479&sid=AF874D6ADA5954CF29DDB5155675A46C,whiztrading@yahoo.co.uk
,'2017-08-02,012 - 5278283,UNIVERSAL GLORY SPECIAL PRODUCTS SDN BHD,"NO. 4 PERSIARAN BANDAR BARU TAMBUN 1 BANDAR BARU TAMBUN, IPOH 31400 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88141&sid=67D622B3EEA9A549B956C32670CFC492,esoon2008@gmail.com
,'2017-08-02,03 - 88935819,EXP SOLUTIONS AND SERVICES SDN BHD,"C1-1-1 AYER@8, JALAN P8G PRESINT 8 62250 PUTRAJAYA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88017&sid=F3932E00E76C97B6ABA8F9F9B59DC285,info@exp-solutions.net
,'2017-08-02,03 - 51211633,GLORY WATER MANAGEMENT SDN. BHD.,"8, JALAN ANGGERIK MOKARA 31/63 KOTA KEMUNING, SECTION 31 SHAH ALAM 40460 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87966&sid=980CDBD07B65E78489B20AB7A1FF5052,kschin@glorywater.com
