HREF,TEL,DATE_SCRAPED,CONAME,BIZADD,FAILMSG,EMAIL
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7702&sid=9CEADF92C6388F06D7BE976FD833C699,03 - 79552229,'2017-08-02,JL RESOURCES SDN BHD,10 SECTION 51A/227B PETALING JAYA 46100 SELANGOR,,accounts@jlr.com.my
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60645&sid=854E5EFDCBC03066ADBC9F67C3531D61,03 - 80630706,'2017-08-02,COCO FLOOR SDN. BHD,NO 4 JALAN TPP 1/12 TAMAN PERINDUSTRIAN PUCHONG 47100 SELANGOR,,management@cocofloormalaysia.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99174&sid=1AF80CCCBFD2D17222FC1C171D1A8828,05 - 5499744,'2017-08-02,ERA FABRIQUE SDN BHD,NO 41 JALAN SCI 1/12 SUNWAY CITY IPOH 31150 PERAK,,era.fabrique@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99250&sid=3DC3C62112ADB775C384B30FFE454125,04 - 5889980,'2017-08-02,PALLETURE WOOD RESOURCES,NO 1 LORONG USAHAJAYA 4 KAWASAN PERINDUSTRIAN USAHAJAYA SIMPANG AMPAT 14100 PULAU PINANG,,vincentooiea@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46366&sid=2ACF9BD57E3FBA081E4014D0AB6B0028,013 - 5443131,'2017-08-02,KILANG PAPAN BANTING WOOD (SABAH) SDN BHD,"PETI SURAT 17307 KOTA KINABALU SABAH, EAST MALAYSIA 88873 SABAH",,kpbssb_woodprocessing@yahoo.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13224&sid=596FBE25EC4C74FBEE591AC371F1D01D,04 - 4314313,'2017-08-02,SYARIKAT KAYU KAYAN JAYAKAS SDN BHD,"C69, 2ND FLOOR, JALAN PERMATANG GEDONG TAMAN SEJATI INDAH SUNGAI PETANI 08000 KEDAH",,cgooi@jayakas.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96374&sid=1C3103AB20EC4FE66A4601A252076D69,03 - 61575678,'2017-08-02,BAO LENG WOOD VENEER PLYWOOD SDN BHD,LOT 2141A JALAN WELFARE KAMPUNG BARU SUNGAI BULOH SUNGAI BULOH 47000 SELANGOR,,acc.baolengveneer@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87327&sid=0D27E79BFC4E6272E2538F78FAE32358,01 - 27721802,'2017-08-02,4321 DESIGN SDN BHD,"NO 95, RIMBA TERJUN, 82000 PONTIAN, JOHOR.  82000 JOHOR",,andy@4321design.asia
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80880&sid=256E5C2879BED679FD1160A06334A133,06 - 9863002,'2017-08-02,FU SENG FURNITURE INDUSTRIES SDN BHD,"LOT 3941, BLOCK E, JALAN AIK HWA CHOON BUKIT BAKRI MUAR 84200 JOHOR",,bizdev.fusengfurniture@gmail.com
http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83447&sid=B7862C63ED996FC70366D87BAA627D38,04 - 7822936,'2017-08-02,PIONEER OSB SDN BHD,"BATU 10, JALAN POKOK SENA MUKIM JABI ALOR SETAR, KEDAH 06400 KEDAH",,INFO@PIONEEROSB.COM
