exhibitor_name,email
SMI AG,info@sutures.be
Lugitsch-Strasser GmbH,info@lugitsch-strasser.at
HumanX c/o MMM Medizinische Modellbau Manufaktur GmbH,office@myhumanx.com
Government of Canada - Gouvernement du Canada,monika.devilliers@international.gc.ca
PATIA S.L.,contact@patiadiabetes.com
ALBUFERA ENERGY STORAGE S.L.,maja.jousif@albufera-energystorage.com
Blackhills Diagnostic Resources S.L.,info@bdrdiagnostics.com
Imegen S.L.,info@imegen.es
NEOS SURGERY SL,mbril@neosurgery.com
RECYSCLINIC S.L.U,info@recysclinic.com
"ANSABERE SURGICAL, S.L.",ansabere@ansaberesurgical.com
Sempermed,sempermed@semperitgroup.com
Adelhelm Kunststoffbeschichtungen GmbH,info@adelhelm.de
Hermann Römmler-Kunststofftechnik GmbH & Co. KG,info@roemmler-kunststofftechnik.de
MAHUSACA sprl,info@droper.be
ATA Hygenic Air Quality Expert SAS,b.ebrahim@ata-medical.com
Aphex Bioclean SAS,a.peters@aphex-bioclean.fr
Medical Innovation Developpement (M.I.D.) SAS,mid@midband.fr
Abliance SAS,info@abliance.com
Prothia s.a.r.l.,contact@prothia.fr
MEDICEN PARIS REGION,ofontaine@medicen.org
THERENVA SAS,info@therenva.com
THERAPIXEL SA,contact@therapixel.com
Kibion AB,info@kibion.com
REDUSTIM,info@redustim.com
ONCOMEDICS SAS,contact@oncomedics.com
LBA Consulting SAS LBA Healthcare,eric.bertrand@mac.com
Helite SARL,hipair@helite.com
Sotec Medical S.A.S.,export@sotecmedical.com
BIODIS GROUPE SAS BIOLUME RESINOR,contact@biolume.com
BSI Group Deutschland GmbH,daniel.leonhard@bsigroup.com
Operamed Srl,SILVIA.SELVATICO@IT.TRUMPFMEDICAL.COM
1&1 Versatel Deutschland GmbH,info@versatel.de
PhysioTools Ltd,info@physiotools.com
CAE SA Scales-Waagen,info@cae.be
egoHEALTH s.r.l.,info@egohealth.it
Inmedico A/S,lise.ebdrup@oscillahearing.com
medserv ce GmbH,mherzog@medserv-ce.de
Laboratoire du Solvirex SAS,info@solvirex.fr
"Mitsubishi Rayon Cleansui Co., Ltd.",cleansui@mrc.co.jp
EurAid Connections S.E.,lawrence@euraid.com
Dierks + Bohle Rechtsanwälte Partnerschaft mbB,office@db-law.de
LASERNEEDLE GmbH,birte.haby@laserneedle.eu
Standortagentur Tirol Cluster Life Sciences Tirol,office@standort-tirol.at
Medizintechnik-Cluster Business Upper Austria - OÖ Wirtschaftsagentur GmbH,melanie.sipos@biz-up.at
whr Hossinger Kunststofftechnik GmbH,stefan.schmidbauer@whr-hossinger.de
Freudenberg New Technologies SE & Co. KG,FNT@Freudenberg.de
Vistamed Ltd.,sales@vistamed.net
Freudenberg Performance Materials SE & Co. KG,med@freudenberg-pm.com
Hemoteq AG,hemoteq@hemoteq.de
Mediprema SAS,info@mediprema.com
Gamain Legros S.A.S.,info@ella-legros.com
SOMATEX Medical Technologies GmbH,info@somatex.com
Eurofins Product Service GmbH,cs@eurofins.com
SAS Sterimed STC,l.gonet@mds-france.com
"Endoscopy Replacement Parts, Inc.",info@endoscopeparts.com
KOHLAS SARL,info@kohlas.fr
"KHE2, Know How environmental Engineering",engineering@khe2.com
Flugzeug-Union Süd GmbH,fus@airbus.com
Soebygaard Machine Design Aps,info@soebygaard.com
Carmo A/S,denmark@carmo.dk
HN Group A/S,ah@hngroup.dk
Knudsen Plast A/S,info@knudsen-plast.dk
Noble Medical Inc.,andreas@noblemedical.com
"Libatape Pharmaceutical Co., Ltd.",n-nishioka@libatape.co.jp
Kibodan A/S,info@kibodan.dk
Lesni A/S,info@lesni.com
Mind Media B.V.,info@mindmedia.nl
Risa GmbH,info@risa-germany.eu
"Kyocera Optec Co., Ltd.",toshiya.nagao.xm@kyocera-optec.jp
NOF CORPORATION,g_honn_ls@nof.co.jp
"RION CO., LTD.",watabe@rion.co.jp
"Takatori Corporation Co., Ltd",
Palex Medical S.A.,palexmedical@palex.es
Hungarian National Trading House,info@tradehouse.hu
"Syntec Co.,Ltd",k-akatsu@syntec-jo.co.jp
"NITI-ON CO., LTD.",
"ESQ, LTD",suzuki@clino.org
"PURERON JAPAN Co., Ltd.",takashi@pureron.co.jp
"Kanda Package Co., Ltd.",info@kanda-package.com
OSMUNDA Medical Technology Service GmbH,global@osmundacn.com
Bäramed Instrumente GmbH,info@baeramed.de
Gemeinschaftsstand Rheinland-Pfalz Forschung und Technologie,daniel.graffe@mwwk.rlp.de
Hochschule Worms,dhoppe@hs-worms.de
Senzime AB,info@senzime.com
"TU Ilmenau, PATON-PVA Thüringer Verwertungsverbund",jana.false@tu-ilmenau.de
"TOKO CO., LTD.",info@toko-tool.co.jp
BIOCOM AG,marketing@biocom.de
Sinagawa Tsushin Keisou Service Ltd.,info@sinagawa-tsushin.co.jp
Salli Systems,info@salli.com
"Broach Kensaku Kogyosho Co., Ltd.",ryutaro.ogai@bkk-hamamatsu.co.jp
"SAWANE SPRING CO., LTD.",t-sawane@sawane.co.jp
"TOSEI ELECTROBEAM CO., LTD.",info@tosei.co.jp
"ONOX MTT CO., LTD.",aoshima.0356@onox.co.jp
HAMING Co-op,hidehiro@hashimoto-neji.co.jp
Reskin Medical N.V.,info@reskin.eu
2-Observe SA,info@2-observe.com
3DSIDE S.A.,info@3dside.eu
WOW Technology S.A.,mail@wowtechnology.com
Beldico S.A.,info@beldio.be
STERISYS PGmbH,info@sterisys.eu
WILL-PHARMA S.A:,ties.versteeg@willpharma.com
Medsys S.A.,info@medsys.be
Philipps-Universität Marburg,info@smart-medication.de
Tingverken AB,lr@amb.se
VeHu-Medical GmbH,info@vehu.de
microsensys GmbH,info@microsensys.de
Turck duotec GmbH,sales@turck-duotec.com
Kählig Antriebstechnik GmbH,info@kag-hannover.de
iPrax Systems GmbH & Co. KG,service@iprax-systems.com
LifeAssays AB,info@lifeassays.com
Otto-von-Guericke-Universität Magdeburg Institut für Mikro- und Sensorsysteme,bertram.schmidt@ovgu.de
Gamify now UG,info@gamify-now.de
TCS Biosciences Ltd,sales@tcsgroup.co.uk
Euro Diagnostica AB,info@eurodiagnostica.com
Institut für Textilmaschinen und Textile Hochleistungswerkstofftechnik der Technischen Universiät Dresden,i.textilmaschinen@tu-dresden.de
Allen Thermal Processing Equipemnt Inc.,rallen@allenthermal.com
HNP Mikrosysteme GmbH,info@hnp-mikrosysteme.de
MAATEL SAS,
"Sanko Seisaku Co., Ltd",shinji-y@sanko-seisaku.co.jp
"Health Enterprises, Inc.",bfishback@healthenterprises.com
"MedicCleanAir, Division of Walsberghe nv",info@mediccleanair.com
Viramed Biotech AG,viramed@viramed.de
NiniX Medical NV,info@ninix-tech.com
Minze Health NV,info@minzehealth.com
Pilipili Productdesign NV,debbie.baart@pilipili.be
ILO electronic GmbH,info@ilo.com
Euromed Implants GmbH,office@euromed-implants.de
MKS PARIS SARL EASY CRYO,olivia.beldame@easycryo.fr
CRYO MANUFACTURING SARL,contact@cryomanufacturing.com
AMINOGRAM SARL,pierre@biody-xpert.com
NUVO Surgical Corporation,brett.messina@nuvosurgical.com
"Icomes Lab Co., Ltd.",minfo@icomes.co.jp
