exhibitor_name,email
Candialle Azienda Agricola S.S. Loc. Candialle,info@candialle.com
Cantina Aldeno S.c.a. Societa' Cooperativa Agricola,info@cantina-aldeno.it
Cant. Coop. di Pitigliano S.a.c.,info@cantinadipitigliano.it
C&C SRL,wines@cecsrl.eu
Cantina Alice Bel Colle S.C.A.,info@cantinaalicebc.it
"Canals & Munné, S.L.",nataliadelacalle@gmail.com
Cantamessa Azienda Vitivinicola di Cantamessa Aldo,info@cantamessavini.it
Cantamessa Giorgio Azienda Agricola,info@moncucchetto.it
"Can Majoral, Sat",info@canmajoral.com
Campolargo Manuel dos Santos,geral@campolargovinhos.com
Canadian Dragon Trading Company Ltd.,info@candtc.ca
CAMUS WINES & SPIRITS SA,camus@camus.fr
Campo alla Sughera,info@campoallasughera.com
"Campelo, S.A.",correio@campelo.pt
CAMPO ALLE COMETE FEUDI TOSCANA SOC. AGR. A R.L.,info@campoallecomete.it
Camperchi Soc. Agr. a.r.l.,info@camperchi.com
CVR Tejo Comissael VitiVinicola Regional do Tejo,geral@cvrtejo.pt
CVRA - Comissao Vitivinicola Regional Alentejana,cvralentejo@vinhosdoalentejo.pt
CWP Wine Brands Pty. Ltd. Lourensford Wine Estate,info@lourensford.co.za
CVNE - Compañía Vinícola del Norte de España S.A.,marketing@cvne.com
CV CHAMPAGNE NICOLAS FEUILLATTE,contactcommercial@feuillatte.com
CVS CHATEAU LA CAMINADE SARL,resses@wanadoo.fr
CVA Canicatti Soc. Coop. Agricola,info@cvacanicatti.it
CWC Limitada Chilean Wine Company,
Cuzziol Grandivini Srl,cuzziol@cuzziol.it
Cusmano Vini SRL,info@cusmano.it
Curry Premium Wines OHG Stefanie und Thomas Curry,sc@currywines.de
CUSUMANO s.r.l. Societa Agricola,info@cusumano.it
Culmina Familiy Estate Winery,info@culmina.ca
"CSE Sociedade Agricola, Lda. Casa Santa Eulália",geral@casasantaeulalia.pt
CT Domains SARL Chateau Teyssier,info@maltus.com
Cupertinum - Antica Cantina del Salento 1935,cantinacopertino@libero.it
Csányi Pincészet Zrt.,villany@csanyipince.hu
Crusoe Treasure Bajo el Agua SL,info@crusoetreasure.com
Crotasc SRL Mamete Prevostini,info@mameteprevostini.com
Crush Wines Ltd.,info@crush-wines.com
CROWN RANGE CELLAR LIMITED,sales@crownrangecellar.com
CROIZET SAS,contact@cognac-croizet.fr
Crespaia Az. Agr. Prelato,info@crespaia.it
Croatian Chamber of Economy (CCE),poljoprivreda@hgk.hr
Cristo de la Vega Bodegas,export@cristodelavega.es
Cremaschi Furlotti S.A.,info@cf.cl
CRDO Ribeira Sacra,info@ribeirasacra.org
Crea Vini S.r.l.,creavini@creavini.it
Credor I. Dorodoulis Ltd. Dorodouli tsipouro & spirits,sales@credor.gr
Crama Domneasca SRL,vin@equinox.md
Cramele Senator SRL,export@senatorwine.ro
Craggy Range Vineyards Ltd.,info@craggyrange.com
Cramele Halewood S.A.,office@halewood.com.ro
CR Do Conca de Barbera,cr@doconcadebarbera.com
Crama Ceptura Srl,office@crama-ceptura.eu
Covinca Soc Coop.,comercial@covinca.es
"Coviñas, Coop. V. Bodegas Coviñas",covinas@covinas.com
