exhibitor_name,email
FARINA S.r.l.,mailto:info@suelzu.com
Family Wine Estate SUTOR,mailto:sutor@siol.net
F.lli CASETTA s.a.s. di Casetta Ernesto & C.,mailto:info@flli-casetta.it
Farnese Vini S.r.l.,mailto:segreteria@farnesevini.com
Famille Perrin,mailto:contact@familleperrin.com
Famille Perrin,mailto:contact@familleperrin.com
FAMILLE Lieubeau EARL Domaine de la Fruitière,mailto:francois@lieubeau.com
Famille Jourdan SARL,mailto:felinesjourdan@gmail.com
FAMILLE HUGEL S.A.,mailto:office@hugel.com
Familie Bauer Bioweingut,mailto:info@familiebauer.at
Familia Zuccardi (La Agricola S.A.),mailto:info@familiazuccardi.com
Famille Ducourt SARL Les Celliers de Bordeaux Benauge,mailto:ducourt@ducourt.com
Fürstlich Castell'sches Domänenamt e.K.,mailto:weingut@castell.de
FUTURA 14 SRL,mailto:info@bvfutura14.it
Fundacao Eugenio de Almeida Cartuxa,mailto:dir.comercial@fea.pt
Furlan ss. Società Agricola,mailto:info@furlanvini.com
Funaro s.r.l. - Azienda Vinicola,mailto:info@funaro.it
"Frupor Sociedade Agro-Industrial, S.A. Vicentino / Frupor",mailto:vicentino@frupor.com
"FRORE DE CARME, S.L.",mailto:eladiopineiro@froredecarme.es
FANTINEL S.P.A.,mailto:fantinel@fantinel.com
FrontPac AB,mailto:info@frontpac.se
Fritz Windisch GmbH & Co. KG,mailto:weingut.windisch@web.de
Fritz Müller verperlt GmbH Jürgen Hofmann & Guido Walter,mailto:info@schiefer-trifft-muschelkalk.de
Famille Valery SARL VALERY,mailto:contact@famillevalery.com
"From Galicia Group, S.L",mailto:info@fromgaliciagroup.com
FrieslandCampina Creamy Creation B.V.,mailto:info@creamycreation.com
Friends' Cellar JSC,mailto:info@friendscellar.com
Friedrich-Wilhelm-Gymnasium GbR,mailto:info@friedrichwilhelmgymnasium.de
Friedrich Klocke GmbH & Co. KG,mailto:info@klocke-online.de
Friedrich Kiefer KG Privatkellerei - Weingut,mailto:info@weingutkiefer.de
French Wines and Terroirs SARL,mailto:contact@frenchwinesterroirs.com
French Organic Wines (France Vin Bio),mailto:contact@france-vinbio.fr
French Spirit SARL,mailto:amaury@frenchspirit.cn.com
