NAME,DESC,IMGURL,PRICE,SPRICE,MEASURE
Givvo Brown Shimeji Mushrooms,"Product of China. Shimeji Mushroom is the third most popular mushroom in Japan, after shitake and enoki. They are called beech mushrooms because they often grow on fallen beech trees. Surprisingly, they have no aroma. But their texture once cooked is smooth, crunchy. Shimeji mushrooms are buttery and nutty and you must cook Shimeji mushrooms. They are perfect to pair with noodles.",/i/m/8885003321121_0059_1448861630804.jpg,2.0,1.5,150 g
Airflown Organic Hass Avocado,"Product of Peru. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062267_1_1435900262202.jpg,9.95,0.0,300 g
Fresh & Natural Baby Carrots,Baby Carrots are excellent in salads.,/i/m/078783001088_0006_1492100244088.jpg,1.6,0.0,250 g
AirFlown Button Mushroom White,"Product from Europe: White Button Mushrooms have fresh and mild earthly flavor, almost no calories, and are easy to prepare. Sliced thinly and thoroughly clean, buttons are amazing ingredients to be included in a sandwich. Add button mushrooms to fresh salad, stir fry them or include in a burger. They are absolutely delicious cooked or prepared raw.",/i/m/White_Button_Mushrooms_1441159872206.JPG,4.95,0,250 g
Givvo Thai Yam,Product of Thailand. Thai yams are known for their superior taste and texture and are used for the making of several Chinese delicacies such as yam cakes and pastries.,/i/m/8885003320032_0174_1448861538106.jpg,5.6,3.05,600 g
Organic 4 Life Organic Beetroot,"Product of Australia.Iconic and colorful, red beets are delicious cooked or raw, hot or cold, and they're packed with nutrients, too. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.",/i/m/Beetroot_1426045494862.JPG,8.95,0.0,500 g
YUVVO Turnip,"Product of Malaysia. A root vegetable commonly grown in temperate climates worldwide for its white, bulbous taproot.",/i/m/8885003329097_0010_1476354738687.jpg,1.65,0.0,750 g
BELLVO Pa Bo Chye,"Product of Malaysia. Generally found in Asian Cuisines, this vegetable fares quite nicely as a core ingredient for a simple soup.",/i/m/8885003328748_0029_1470814778257.jpg,2.4,0.0,600 g
Givvo Pak Choi,Product of Malaysia. A leafy veg popular in Asian cuisine.,/i/m/88850033268674_1433994938795.jpg,1.75,0.0,200 g
AirFlown Organic Leeks,"Product of Netherlands. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062687_0128_1448214543119.jpg,9.95,0.0,500 g
Givvo Chinese Tang Oh,Distinct mildly-pungent vegetable popular with steamboat.,/i/m/8885003328380_0006_1484545794352.jpg,3.4,0.0,200 g
Givvo Chye Sim,"Product of China. Chye Sim have smooth, dark green leaf blades forming a cluster reminiscent of mustard or celery. Chinensis varieties are popular in southern China and Southeast Asia. Being winter-hardy, they are increasingly grown in Northern Europe.",/i/m/8885003322005_1433995114819.jpg,1.95,0.0,300 g
Mushroom Gourmet Woodear Mushrooms,"Wood ear mushrooms have the appearance of black trumpet mushrooms, the often large mushroom appearing thin and frail, curled tightly into itself exposing its snowy underside against its black cap. The wood ear resembles the crunchy and gelatinous consistency of jelly fish or squid. It has a delicate forest aroma and it is virtually absent of flavor, utilized solely for its textural properties.",/i/m/88864581017020134_1441196936634.jpg,1.85,0,100 g
Airflown Chicory/ Belgian Endive,Product of Netherlands. Chicory leaves are usually eaten raw as salad leaves.,/i/m/8719172060393_5_1435861713101.jpg,5.95,0.0,500 g
Airflown Mini Cucumbers,"Product of Netherlands. Cucumbers are a wonderfully refreshing vegetable, with a crisp texture and cool taste. They're available in a number of different varieties, all of which can be used raw in salads, sandwiches, dips and accompaniments, as well as cooked in soups.",/i/m/8719172060430_1_1435862256336.jpg,4.95,0,1 per pack
Givvo Lime Leaves/ Kaffir Lime Leaves,"Product of Thailand. Kaffir lime leaves come from the Kaffir lime tree, a lime tree native to Indonesia. The leaves are highly aromatic and suitable for Asian cuisines, including Thai, Indonesian, Cambodian and Lao cuisines.",/i/m/8888383323877_0104_1448861913540.jpg,0.95,0.0,50 g
AirFlown Shallots,"Product of France. Shallots are a quintessential ingredient in Bearnaise sauce and classic French vinaigrettes. Shallots pair well with butter, cream, citrus and vinegar.",/i/m/8719172062434_0063_1448214342556.jpg,3.95,0.0,250 g
Organic 4 Life Organic Red Potatoes,Product of Australia. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.,/i/m/Red_Potatoes_1426046039420.JPG,5.95,0.0,500 g
Givvo Puay Leng Spinach,Product of China. A leafy veg popular in Asian cuisine.,/i/m/88850033251430172_1441196624786.jpg,1.65,0.0,250 g
Givvo French Beans,"Product of Malaysia. French beans or fine beans, is a variety of green bean that is longer, thinner, crisp, and tender. Green beans are often steamed, boiled, stir-fried, or baked in casseroles.",/i/m/88850033265776_1433995040954.jpg,1.55,0,200 g
Givvo Red Onions,"Product of Australia. Red onions have a slightly sweeter and milder flavor than brown onions. Also known as Spanish onions, they are used both raw and cooked. They're great in salsas, salads and dips, as well as in pasta sauces and cooked vegetable dishes. Red onions are available all year round.",/i/m/8885003324634_6_1434607258969.jpg,3.9,0,500 g
