failmsg,href,image_urls,name,ops,removed,side,time,timestamp
,https://twilightstrategy.com/2012/04/02/east-european-unrest/,,East European Unrest, 3, No, US, Early War,
,https://twilightstrategy.com/2012/03/20/containment/,,Containment, 3, Yes, US, Early War,
,https://twilightstrategy.com/2012/03/29/suez-crisis/,,Suez Crisis, 3, Yes, USSR, Early War,
,https://twilightstrategy.com/2012/03/27/usjapan-mutual-defense-pact/,,US/Japan Mutual Defense Pact, 4, Yes, US, Early War,
,https://twilightstrategy.com/2012/04/23/red-scarepurge/,,Red Scare/Purge, 4, No, Neutral, Early War,
,https://twilightstrategy.com/2012/04/05/decolonization/,,Decolonization, 2, No, USSR, Early War,
,https://twilightstrategy.com/2012/03/19/indo-pakistani-war/,,Indo-Pakistani War, 2, No, Neutral, Early War,
,https://twilightstrategy.com/2011/12/14/regions-asia/,,Regions: Asia,,,,,
,https://twilightstrategy.com/2012/03/13/independent-reds/,,Independent Reds, 2, Yes, US, Early War,
,https://twilightstrategy.com/2012/03/16/marshall-plan/,,Marshall Plan, 4, Yes, US, Early War,
,https://twilightstrategy.com/2013/01/10/yuri-and-samantha/,,Yuri and Samantha, 2, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/02/27/captured-nazi-scientist/,,Captured Nazi Scientist, 1, Yes, Neutral, Early War,
,https://twilightstrategy.com/2012/03/26/cia-created/,,CIA Created, 1, Yes, US, Early War,
,https://twilightstrategy.com/2012/11/28/our-man-in-tehran/,,Our Man in Tehran, 2, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/27/che/,,Che, 3, No, USSR, Mid War,
,https://twilightstrategy.com/2012/07/25/norad/,,NORAD, 3, Yes, US, Early War,
,https://twilightstrategy.com/2013/01/09/iran-iraq-war/,,Iran-Iraq War, 2, Yes, Neutral, Late War,
,https://twilightstrategy.com/2012/07/11/the-cambridge-five/,,The Cambridge Five, 2, No, USSR, Early War,
,https://twilightstrategy.com/2012/07/18/special-relationship/,,Special Relationship, 2, No, US, Early War,
,https://twilightstrategy.com/2013/01/14/awacs-sale-to-saudis/,,AWACS Sale to Saudis, 3, Yes, US, Late War,
,https://twilightstrategy.com/2013/01/08/solidarity/,,Solidarity, 2, Yes, US, Late War,
,https://twilightstrategy.com/2013/01/04/pershing-ii-deployed/,,Pershing II Deployed, 3, Yes, USSR, Late War,
,https://twilightstrategy.com/2013/01/07/wargames/,,Wargames, 4, Yes, Neutral, Late War,
,https://twilightstrategy.com/2012/12/20/tear-down-this-wall/,,Tear Down This Wall, 3, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/21/an-evil-empire/,,“An Evil Empire”, 3, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/18/chernobyl/,,Chernobyl, 3, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/17/iran-contra-scandal/,,Iran-Contra Scandal, 2, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/12/19/latin-american-debt-crisis/,,Latin American Debt Crisis, 2, No, USSR, Late War,
,https://twilightstrategy.com/2013/01/03/aldrich-ames-remix/,,Aldrich Ames Remix, 3, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/12/13/ortega-elected-in-nicaragua/,,Ortega Elected in Nicaragua, 2, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/12/12/glasnost/,,Glasnost, 4, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/03/02/truman-doctrine/,,Truman Doctrine, 1, Yes, US, Early War,
,https://twilightstrategy.com/2012/12/10/marine-barracks-bombing/,,Marine Barracks Bombing, 2, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/12/06/north-sea-oil/,,North Sea Oil, 3, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/05/star-wars/,,Star Wars, 2, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/07/the-reformer/,,The Reformer, 3, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/12/03/the-iron-lady/,,The Iron Lady, 3, Yes, US, Late War,
,https://twilightstrategy.com/2012/11/30/iranian-hostage-crisis/,,Iranian Hostage Crisis, 3, Yes, USSR, Late War,
,https://twilightstrategy.com/2012/05/07/un-intervention/,,UN Intervention, 1, No, Neutral, Early War,
,https://twilightstrategy.com/2012/12/04/reagan-bombs-libya/,,Reagan Bombs Libya, 2, Yes, US, Late War,
,https://twilightstrategy.com/2012/12/11/soviets-shoot-down-kal-007/,,Soviets Shoot Down KAL-007, 4, Yes, US, Late War,
,https://twilightstrategy.com/2012/03/12/nato/,,NATO, 4, Yes, US, Early War,
,https://twilightstrategy.com/2012/11/23/alliance-for-progress/,,Alliance for Progress, 3, Yes, US, Mid War,
,https://twilightstrategy.com/2012/12/14/terrorism/,,Terrorism, 2, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/11/26/one-small-step/,,“One Small Step…”, 2, No, Neutral, Mid War,
,https://twilightstrategy.com/2012/11/20/ussuri-river-skirmish/,,Ussuri River Skirmish, 3, Yes, US, Mid War,
,https://twilightstrategy.com/2012/11/19/liberation-theology/,,Liberation Theology, 2, No, USSR, Mid War,
,https://twilightstrategy.com/2012/11/15/shuttle-diplomacy/,,Shuttle Diplomacy, 3, No, US, Mid War,
,https://twilightstrategy.com/2012/08/15/regions-south-america/,,Regions: South America,,,,,
,https://twilightstrategy.com/2012/11/21/ask-not-what-your-country-can-do-for-you/,,“Ask Not What Your Country Can Do For You…”, 3, Yes, US, Mid War,
,https://twilightstrategy.com/2012/04/11/regions-africa/,,Regions: Africa,,,,,
,https://twilightstrategy.com/2012/11/16/the-voice-of-america/,,The Voice of America, 2, No, US, Mid War,
