failmsg,href,image_urls,name,ops,removed,side,time,timestamp
,https://twilightstrategy.com/2011/12/14/regions-asia/,https://twilightstrategy.files.wordpress.com/2012/01/asia-scoring.jpg?w=640,Regions: Asia,,,,,2017-05-22 16:26:24.193649
,https://twilightstrategy.com/2012/01/02/romanian-abdication/,https://twilightstrategy.files.wordpress.com/2012/01/romanian-abdication.jpg?w=640,Romanian Abdication, 1, Yes, USSR, Early War,2017-05-22 16:26:24.734540
,https://twilightstrategy.com/2012/03/02/truman-doctrine/,https://twilightstrategy.files.wordpress.com/2012/01/truman-doctrine.jpg?w=640,Truman Doctrine, 1, Yes, US, Early War,2017-05-22 16:26:25.129841
,https://twilightstrategy.com/2012/01/24/comecon/,https://twilightstrategy.files.wordpress.com/2012/01/comecon.jpg?w=640,Comecon,,,,1949–1991,2017-05-22 16:26:25.220406
,https://twilightstrategy.com/2012/02/06/nasser/,https://twilightstrategy.files.wordpress.com/2012/01/nasser.jpg?w=640,Nasser, 1, Yes, USSR, Early War,2017-05-22 16:26:25.247926
,https://twilightstrategy.com/2012/02/24/de-gaulle-leads-france/,https://twilightstrategy.files.wordpress.com/2012/01/de-gaulle-leads-france.jpg?w=640,De Gaulle Leads France, 3, Yes, USSR, Early War,2017-05-22 16:26:25.325979
,https://twilightstrategy.com/2012/02/27/captured-nazi-scientist/,https://twilightstrategy.files.wordpress.com/2012/01/captured-nazi-scientist.jpg?w=640,Captured Nazi Scientist, 1, Yes, Neutral, Early War,2017-05-22 16:26:25.369010
,https://twilightstrategy.com/2012/02/20/warsaw-pact-formed/,https://twilightstrategy.files.wordpress.com/2012/01/warsaw-pact-formed.jpg?w=640,Warsaw Pact Formed, 3, Yes, USSR, Early War,2017-05-22 16:26:25.388527
,https://twilightstrategy.com/2012/01/16/arab-israeli-war/,https://twilightstrategy.files.wordpress.com/2012/01/arab-israeli-war.jpg?w=640,Arab-Israeli War,,,,"1948–49, 1956, 1967, 1968-1970, 1973, 1982",2017-05-22 16:26:25.436563
,https://twilightstrategy.com/2011/12/25/korean-war/,https://twilightstrategy.files.wordpress.com/2012/01/korean-war.jpg?w=640,Korean War, 2, Yes, USSR, Early War,2017-05-22 16:26:25.474085
,https://twilightstrategy.com/2011/12/19/blockade/,https://twilightstrategy.files.wordpress.com/2012/01/blockade.jpg?w=640,Blockade, 1, Yes, USSR, Early War,2017-05-22 16:26:25.725262
,https://twilightstrategy.com/2011/12/16/vietnam-revolts/,https://twilightstrategy.files.wordpress.com/2012/01/vietnam-revolts.jpg?w=640,Vietnam Revolts, 2, Yes, USSR, Early War,2017-05-22 16:26:25.779301
,https://twilightstrategy.com/2011/12/13/socialist-governments/,https://twilightstrategy.files.wordpress.com/2012/01/socialist-governments.jpg?w=640,Socialist Governments, 3, No, USSR, Early War,2017-05-22 16:26:25.861360
,https://twilightstrategy.com/2011/12/14/fidel/,https://twilightstrategy.files.wordpress.com/2012/01/fidel.jpg?w=640,Fidel, 2, Yes, USSR, Early War,2017-05-22 16:26:26.280324
,https://twilightstrategy.com/2012/10/31/the-china-card/,https://twilightstrategy.files.wordpress.com/2012/01/the-china-card.jpg?w=640,The China Card,,,,There are four main uses for the China Card:,2017-05-22 16:26:26.342871
