topic,intro
Krityunjai Prasad Sinha,
Babirusa,"The babirusas, also called deer-pig (Indonesian: babirusa[1]) are a genus, Babyrousa, in the pig family (Suidae) found in Wallacea, or specifically the Indonesian islands of Sulawesi, Togian, Sula and Buru.[2] All members of this genus were considered part of a single species until 2002, the babirusa, B. babyrussa, but following the split into several species, this scientific name is restricted to the Buru babirusa from Buru and Sula, whereas the best-known species, the north Sulawesi babirusa, is named B. celebensis.[3] The remarkable ""prehistoric"" appearance of these mammals is largely due to the prominent upwards incurving canine tusks of the males, which actually pierce the flesh in the snout.[4] If a babirusa does not grind its tusks (achievable through regular activity), they can eventually keep growing so as to penetrate the animal's own skull.[5]"
List of historical anniversaries,Condensed list of historical anniversaries.
Song cycles (Waterhouse),"Graham Waterhouse, cellist and composer especially of chamber music, has written a number of song cycles. As a cellist, he has used string instruments or a Pierrot ensemble instead of the typical piano to accompany a singer. In 2003 he composed a first cycle of songs based on late poems by Friedrich Hölderlin. In 2016, he set nursery rhymes, excerpts from James Joyce, and texts by Shakespeare. In 2017, he wrote settings of poems by Irish female writers."
Train Track Park,"Train Track Park (Hebrew: פארק המסילה‎, Park HaMesila) is an urban park in Jerusalem, Israel. Equipped with 7-kilometre (4.3 mi)-long walking and biking trails, the park follows the route of the original Jaffa–Jerusalem railway from the Jerusalem Railway Station near the German Colony to Teddy Stadium in Malha. The park is built over – and incorporates in its design – the original railway tracks installed in 1892 and used through 1998. The park has been noted as a symbol of coexistence in the divided city, as it passes through Jewish and Arab neighborhoods and is used by residents of both."
Wikipedia:Selected anniversaries/May,May 1: Beltane in Ireland and Scotland; Yom Hazikaron in Israel (2017)
"Manuel Marques de Sousa, Count of Porto Alegre","Manuel Marques de Sousa, Count of Porto Alegre (13 June 1804 – 18 July 1875), nicknamed ""the Gloved Centaur"",[A] was an army officer, politician, abolitionist and monarchist of the Empire of Brazil. Born into a wealthy family of military background, Manuel Marques de Sousa joined the army in 1817 when he was little more than a child. His military initiation occurred in the conquest of the Banda Oriental (Eastern Bank), which was annexed and became the southernmost Brazilian province of Cisplatina in 1821. For most of the 1820s, he was embroiled in the Brazilian effort to keep Cisplatina as part of its territory: first during the struggle for Brazilian independence and then in the Cisplatine War. It would ultimately prove a futile attempt, as Cisplatina successfully separated from Brazil to become the independent nation of Uruguay in 1828."
Portal:Contents/Portals,
Wikipedia:Today's featured article/May 2017,"Clathrus ruber, the red cage fungus, is a species in the stinkhorn family. The pink, orange or red fruit bodies form interlaced branches in the shape of a round or oval hollow sphere. The fungus is saprobic, feeding off decaying woody plant material, and is usually found in leaf litter on garden soil, grassy places, or woodchip garden mulches. Primarily a European species, C. ruber has been introduced to northern Africa, Asia, Australia, and North and South America. The fruit body is initially white and egg-shaped, attached to the ground by mycelial cords. It has a delicate, leathery outer membrane enclosing the compressed lattice that surrounds a layer of olive-green spore-bearing slime called the gleba. As the egg ruptures and the fruit body expands, the gleba is carried upward on the inner surfaces of the spongy lattice, and the egg membrane remains as a volva at the base. The gleba smells like rotting meat, which attracts flies and other insects that carry off its spores. The fungus's edibility is unknown, but its odor would deter most from consuming it. (Full article...)"
Lorna Hodgkinson,Lorna Myrtle Hodgkinson (13 May 1887 – 24 March 1951) was an Australian educator and educational psychologist who worked with intellectually disabled children. She was the first woman to receive a Doctor of Education degree from Harvard University.
John Nash (architect),"John Nash (18 January 1752 – 13 May 1835) was a British architect responsible for much of the layout of Regency London under the patronage of the Prince Regent, and during his reign as George IV. Nash was also a pioneer in the use of the Picturesque in architecture. His best-known buildings are the Royal Pavilion, Brighton, and Buckingham Palace (though the facade facing The Mall is an early 20th-century remodelling by Aston Webb of an 1850s wing by Edward Blore, and thus is not Nash's work). Many of his buildings were built by the property developer James Burton, who also lent him financial assistance when he encountered financial problems during his projects on Regent Street. In return, Nash promoted the career of Burton's son, Decimus Burton, who assisted him with several of his designs and later became a famous architect in his own right.[1][2]"
Rise of Macedon,"The rise of Macedon, from a small kingdom at the periphery of classical Greek affairs to one which came to dominate the entire Hellenic world (and beyond),[1] occurred in the span of just 25 years, between 359 and 336 BC. This ascendancy is largely attributable to the personality and policies of Philip II (r. 359–336 BC). In addition to utilising effective diplomacy and marriage alliances to achieve his political aims, Philip II was also responsible for reforming the ancient Macedonian army into an effective fighting force. The Macedonian phalanx became the hallmark of the Macedonian army during his reign and the subsequent Hellenistic period. His army and engineers also made extensive use of siege engines."
Wikipedia:Featured articles,
Arthur Sullivan,"Sir Arthur Seymour Sullivan MVO (13 May 1842 – 22 November 1900) was an English composer. He is best known for his series of 14 operatic collaborations with the dramatist W. S. Gilbert, including H.M.S. Pinafore, The Pirates of Penzance and The Mikado. His works comprise 23 operas, 13 major orchestral works, eight choral works and oratorios, two ballets, incidental music to several plays, and numerous hymns and other church pieces, songs, and piano and chamber pieces. The best known of his hymns and songs include ""Onward Christian Soldiers"" and ""The Lost Chord""."
Wiktionary:Main Page,
Main Page,
Wikiversity:Main Page,
Wikipedia:Village pump,"Welcome to the village pump. This set of pages is used to discuss the technical issues, policies, and operations of Wikipedia, and is divided into five village pump sections."
Main Page,
